problem,K,method,seed,arm,n_reported,mpr,mean_f1,score
M01-D10-PIN01,20,RR-CMA-ES,0,eps_loose+dedup,13,0.650000,0.787879,0.718939
M01-D10-PIN01,20,RR-CMA-ES,100,eps_loose+dedup,13,0.650000,0.787879,0.718939
M01-D10-PIN01,20,RR-CMA-ES,200,eps_loose+dedup,15,0.750000,0.857143,0.803571
M01-D10-PIN01,20,Restart-Lander,0,eps_loose+dedup,16,0.720000,0.800000,0.760000
M01-D10-PIN01,20,Restart-Lander,100,eps_loose+dedup,14,0.630000,0.741176,0.685588
M01-D10-PIN01,20,Restart-Lander,200,eps_loose+dedup,13,0.600000,0.727273,0.663636
M02-D10-PIN01,20,RR-CMA-ES,0,eps_loose+dedup,6,0.300000,0.461538,0.380769
M02-D10-PIN01,20,RR-CMA-ES,100,eps_loose+dedup,6,0.300000,0.461538,0.380769
M02-D10-PIN01,20,RR-CMA-ES,200,eps_loose+dedup,6,0.300000,0.461538,0.380769
M02-D10-PIN01,20,Restart-Lander,0,eps_loose+dedup,11,0.530000,0.683871,0.606935
M02-D10-PIN01,20,Restart-Lander,100,eps_loose+dedup,13,0.620000,0.751515,0.685758
M02-D10-PIN01,20,Restart-Lander,200,eps_loose+dedup,9,0.450000,0.620690,0.535345
M03-D10-PIN01,20,RR-CMA-ES,0,eps_loose+dedup,10,0.500000,0.666667,0.583333
M03-D10-PIN01,20,RR-CMA-ES,100,eps_loose+dedup,9,0.450000,0.620690,0.535345
M03-D10-PIN01,20,RR-CMA-ES,200,eps_loose+dedup,11,0.550000,0.709677,0.629839
M03-D10-PIN01,20,Restart-Lander,0,eps_loose+dedup,10,0.490000,0.653333,0.571667
M03-D10-PIN01,20,Restart-Lander,100,eps_loose+dedup,12,0.570000,0.712500,0.641250
M03-D10-PIN01,20,Restart-Lander,200,eps_loose+dedup,12,0.540000,0.675000,0.607500
M04-D10-PIN01,20,RR-CMA-ES,0,eps_loose+dedup,8,0.400000,0.571429,0.485714
M04-D10-PIN01,20,RR-CMA-ES,100,eps_loose+dedup,9,0.450000,0.620690,0.535345
M04-D10-PIN01,20,RR-CMA-ES,200,eps_loose+dedup,9,0.450000,0.620690,0.535345
M04-D10-PIN01,20,Restart-Lander,0,eps_loose+dedup,13,0.650000,0.787879,0.718939
M04-D10-PIN01,20,Restart-Lander,100,eps_loose+dedup,10,0.500000,0.666667,0.583333
M04-D10-PIN01,20,Restart-Lander,200,eps_loose+dedup,14,0.700000,0.823529,0.761765
M05-D10-PIN01,20,RR-CMA-ES,0,eps_loose+dedup,10,0.500000,0.666667,0.583333
M05-D10-PIN01,20,RR-CMA-ES,100,eps_loose+dedup,10,0.500000,0.666667,0.583333
M05-D10-PIN01,20,RR-CMA-ES,200,eps_loose+dedup,10,0.500000,0.666667,0.583333
M05-D10-PIN01,20,Restart-Lander,0,eps_loose+dedup,13,0.650000,0.787879,0.718939
M05-D10-PIN01,20,Restart-Lander,100,eps_loose+dedup,14,0.700000,0.823529,0.761765
M05-D10-PIN01,20,Restart-Lander,200,eps_loose+dedup,14,0.700000,0.823529,0.761765
M06-D10-PIN01,20,RR-CMA-ES,0,eps_loose+dedup,9,0.450000,0.620690,0.535345
M06-D10-PIN01,20,RR-CMA-ES,100,eps_loose+dedup,9,0.450000,0.620690,0.535345
M06-D10-PIN01,20,RR-CMA-ES,200,eps_loose+dedup,10,0.500000,0.666667,0.583333
M06-D10-PIN01,20,Restart-Lander,0,eps_loose+dedup,8,0.400000,0.571429,0.485714
M06-D10-PIN01,20,Restart-Lander,100,eps_loose+dedup,8,0.400000,0.571429,0.485714
