basis,r_frac,r_abs,n_problems,rl_score,rr_score,rl_mpr,rr_mpr,rl_n_rep,rr_n_rep,j1_vs_published,d_score,win,tie,loss,p_score,rb_score,d_mpr,p_mpr
A,0,0,16,0.389439,0.500606,0.564375,0.459375,70.062,13.250,-0.218561,-0.111167,3,0,13,0.00213623,-0.8235,0.105000,0.0134277
A,1e-06,1e-05,16,0.572424,0.527766,0.564375,0.459375,14.750,8.875,-0.035576,0.044657,9,2,5,0.241211,0.3714,0.105000,0.0134277
A,1e-05,0.0001,16,0.583857,0.531182,0.564375,0.459375,13.312,7.938,-0.024143,0.052675,9,2,5,0.193726,0.4095,0.105000,0.0134277
A,0.0001,0.001,16,0.598158,0.536226,0.564375,0.459375,11.438,7.125,-0.009842,0.061933,9,2,5,0.0905762,0.5238,0.105000,0.0134277
A,0.001,0.01,16,0.613125,0.536226,0.564375,0.459375,10.188,7.125,0.005125,0.076899,9,2,5,0.067627,0.5619,0.105000,0.0134277
A,0.01,0.1,16,0.625071,0.536688,0.564375,0.459375,9.125,7.062,0.017071,0.088383,10,2,4,0.0352783,0.6381,0.105000,0.0134277
A,0.05,0.5,16,0.628416,0.537718,0.564375,0.459375,8.938,6.938,0.020416,0.090698,10,2,4,0.029541,0.6571,0.105000,0.0134277
A,0.1,1,16,0.628416,0.537718,0.564375,0.459375,8.938,6.938,0.020416,0.090698,10,2,4,0.029541,0.6571,0.105000,0.0134277
A,0.2,2,16,0.628416,0.537718,0.564375,0.459375,8.938,6.938,0.020416,0.090698,10,2,4,0.029541,0.6571,0.105000,0.0134277
A,0.5,5,16,0.628416,0.532149,0.564375,0.453125,8.938,6.812,0.020416,0.096267,11,1,4,0.0215454,0.6667,0.111250,0.0102539
B,0,0,11,0.416771,0.529810,0.590000,0.485455,72.697,15.818,-0.191229,-0.113039,2,0,9,0.0136719,-0.8182,0.104545,0.0322266
B,1e-06,1e-05,11,0.591863,0.553614,0.590000,0.485455,17.455,10.697,-0.016137,0.038249,6,0,5,0.464844,0.2727,0.104545,0.0322266
B,1e-05,0.0001,11,0.605658,0.556130,0.590000,0.485455,15.667,9.727,-0.002342,0.049529,6,0,5,0.365234,0.3333,0.104545,0.0322266
B,0.0001,0.001,11,0.619995,0.560264,0.590000,0.485455,13.667,8.788,0.011995,0.059730,7,0,4,0.27832,0.3939,0.104545,0.0322266
B,0.001,0.01,11,0.638459,0.561509,0.590000,0.485455,11.909,8.576,0.030459,0.076949,8,0,3,0.123047,0.5455,0.104545,0.0322266
B,0.01,0.1,11,0.651131,0.562367,0.590000,0.485455,10.758,8.455,0.043131,0.088764,8,0,3,0.0673828,0.6364,0.104545,0.0322266
B,0.05,0.5,11,0.653561,0.563333,0.590000,0.485455,10.606,8.333,0.045561,0.090228,8,0,3,0.0673828,0.6364,0.104545,0.0322266
B,0.1,1,11,0.653561,0.563333,0.590000,0.485455,10.606,8.333,0.045561,0.090228,8,0,3,0.0673828,0.6364,0.104545,0.0322266
B,0.2,2,11,0.653561,0.563333,0.590000,0.485455,10.606,8.333,0.045561,0.090228,8,0,3,0.0673828,0.6364,0.104545,0.0322266
B,0.5,5,11,0.648630,0.557966,0.584242,0.479394,10.485,8.212,0.040630,0.090663,8,0,3,0.0537109,0.6667,0.104848,0.0322266
