problem,arm,K,mpr,f1,precision,score,n_reported,n_descents,rho_med
M01-D10-PIN01,null,20,0.720000,0.800000,0.900000,0.760000,16,76,
M01-D10-PIN01,reseed,20,0.620000,0.751515,0.953846,0.685758,13,79,7.296990
M01-D10-PIN01,bhop,20,0.300000,0.461538,1.000000,0.380769,6,78,7.893430
M02-D10-PIN01,null,20,0.530000,0.683871,0.963636,0.606935,11,53,
M02-D10-PIN01,reseed,20,0.390000,0.557143,0.975000,0.473571,8,46,9.259160
M02-D10-PIN01,bhop,20,0.250000,0.400000,1.000000,0.325000,5,59,9.877310
M03-D10-PIN01,null,20,0.490000,0.653333,0.980000,0.571667,10,45,
M03-D10-PIN01,reseed,20,0.520000,0.670968,0.945455,0.595484,11,45,7.837820
M03-D10-PIN01,bhop,20,0.350000,0.518519,1.000000,0.434259,7,43,9.424820
M04-D10-PIN01,null,20,0.650000,0.787879,1.000000,0.718939,13,114,
M04-D10-PIN01,reseed,20,0.550000,0.709677,1.000000,0.629839,11,121,8.388400
M04-D10-PIN01,bhop,20,0.450000,0.620690,1.000000,0.535345,9,137,8.943740
M05-D10-PIN01,null,20,0.650000,0.787879,1.000000,0.718939,13,118,
M05-D10-PIN01,reseed,20,0.550000,0.709677,1.000000,0.629839,11,124,8.165860
M05-D10-PIN01,bhop,20,0.150000,0.260870,1.000000,0.205435,3,106,0.566996
M06-D10-PIN01,null,20,0.400000,0.571429,1.000000,0.485714,8,156,
M06-D10-PIN01,reseed,20,0.450000,0.620690,1.000000,0.535345,9,160,0.848242
M06-D10-PIN01,bhop,20,0.050000,0.095238,1.000000,0.072619,1,158,0.846631
M07-D10-PIN01,null,20,0.440000,0.606897,0.977778,0.523448,9,113,
M07-D10-PIN01,reseed,20,0.450000,0.620690,1.000000,0.535345,9,113,7.981940
M07-D10-PIN01,bhop,20,0.250000,0.400000,1.000000,0.325000,5,117,7.752730
M08-D10-PIN01,null,20,0.650000,0.787879,1.000000,0.718939,13,123,
M08-D10-PIN01,reseed,20,0.600000,0.750000,1.000000,0.675000,12,123,1.195560
M08-D10-PIN01,bhop,20,0.150000,0.260870,1.000000,0.205435,3,127,0.991251
M09-D10-PIN01,null,10,0.500000,0.625000,0.833333,0.562500,6,57,
M09-D10-PIN01,reseed,10,0.380000,0.542857,0.950000,0.461429,4,61,4.445700
M09-D10-PIN01,bhop,10,0.240000,0.369231,0.800000,0.304615,3,49,5.333880
M10-D10-PIN01,null,10,0.600000,0.705882,0.857143,0.652941,7,42,
M10-D10-PIN01,reseed,10,0.520000,0.650000,0.866667,0.585000,6,43,10.251100
M10-D10-PIN01,bhop,10,0.280000,0.430769,0.933333,0.355385,3,42,14.013500
M11-D10-PIN01,null,10,0.460000,0.575000,0.766667,0.517500,6,46,
M11-D10-PIN01,reseed,10,0.440000,0.586667,0.880000,0.513333,5,50,8.607800
M11-D10-PIN01,bhop,10,0.200000,0.333333,1.000000,0.266667,2,45,10.838800
M12-D10-PIN01,null,10,0.820000,0.863158,0.911111,0.841579,9,106,
M12-D10-PIN01,reseed,10,0.780000,0.866667,0.975000,0.823333,8,117,9.657850
M12-D10-PIN01,bhop,10,0.400000,0.571429,1.000000,0.485714,4,164,12.808300
M13-D10-PIN01,null,10,0.800000,0.888889,1.000000,0.844444,8,113,
M13-D10-PIN01,reseed,10,0.700000,0.823529,1.000000,0.761765,7,109,0.871407
M13-D10-PIN01,bhop,10,0.700000,0.823529,1.000000,0.761765,7,122,8.735810
M14-D10-PIN01,null,10,0.300000,0.461538,1.000000,0.380769,3,130,
M14-D10-PIN01,reseed,10,0.400000,0.571429,1.000000,0.485714,4,138,1.568390
M14-D10-PIN01,bhop,10,0.100000,0.181818,1.000000,0.140909,1,146,0.986155
M15-D10-PIN01,null,10,0.320000,0.457143,0.800000,0.388571,4,119,
M15-D10-PIN01,reseed,10,0.380000,0.542857,0.950000,0.461429,4,119,4.460190
M15-D10-PIN01,bhop,10,0.300000,0.461538,1.000000,0.380769,3,114,1.666670
M16-D10-PIN01,null,10,0.700000,0.823529,1.000000,0.761765,7,113,
M16-D10-PIN01,reseed,10,0.400000,0.571429,1.000000,0.485714,4,119,1.510170
M16-D10-PIN01,bhop,10,0.200000,0.333333,1.000000,0.266667,2,106,1.527060
