function,method,rule,seed,evals,n_optima,n_reported,pr_1e-1,pr_1e-2,pr_1e-3,pr_1e-4,pr_1e-5
N20-CF4-20D,NMMSO,current,0,400000,8,54,0.1250,0.1250,0.1250,0.0000,0.0000
N20-CF4-20D,NMMSO,current,1,400000,8,39,0.1250,0.1250,0.0000,0.0000,0.0000
N20-CF4-20D,NMMSO,current,2,400000,8,44,0.1250,0.1250,0.1250,0.0000,0.0000
N20-CF4-20D,NMMSO,current,3,400000,8,45,0.1250,0.1250,0.1250,0.0000,0.0000
N20-CF4-20D,NMMSO,current,4,400000,8,53,0.2500,0.2500,0.2500,0.1250,0.0000
N20-CF4-20D,NMMSO,current,5,400000,8,47,0.1250,0.1250,0.1250,0.0000,0.0000
N20-CF4-20D,NMMSO,current,6,400000,8,26,0.1250,0.1250,0.1250,0.1250,0.0000
N20-CF4-20D,NMMSO,current,7,400000,8,37,0.2500,0.2500,0.2500,0.0000,0.0000
N20-CF4-20D,NMMSO,current,8,400000,8,53,0.2500,0.2500,0.2500,0.1250,0.0000
N20-CF4-20D,NMMSO,current,9,400000,8,36,0.1250,0.1250,0.1250,0.0000,0.0000
