arm,function,dim,K,seed,budget,pr_1e-1,pr_1e-2,pr_1e-3,pr_1e-4,pr_1e-5,n_reported,hist_sup_pr_1e-5,near_0p1,requests,inf_answers,clipped,evals_recorded,pynmmso_counter,modes_returned,modes_finite,swarms,seconds
base,N19-CF4-10D,10,8,100,400000,0.3750,0.3750,0.3750,0.3750,0.3750,84,0.3750,3,400029,29,0,400000,400029,84,84,84,30.4
base,N19-CF4-10D,10,8,101,400000,0.0000,0.0000,0.0000,0.0000,0.0000,100,0.0000,0,400063,63,0,400000,400063,818,818,818,57.6
base,N19-CF4-10D,10,8,102,400000,0.2500,0.2500,0.2500,0.1250,0.1250,96,0.1250,3,400094,94,0,400000,400094,96,96,96,33.5
base,N19-CF4-10D,10,8,103,400000,0.5000,0.5000,0.5000,0.5000,0.2500,66,0.2500,4,400052,52,0,400000,400052,66,66,66,30.4
base,N19-CF4-10D,10,8,104,400000,0.0000,0.0000,0.0000,0.0000,0.0000,100,0.0000,0,400037,37,0,400000,400037,756,756,756,56.2
base,N19-CF4-10D,10,8,105,400000,0.1250,0.0000,0.0000,0.0000,0.0000,100,0.0000,1,400042,42,0,400000,400042,967,967,967,61.6
base,N19-CF4-10D,10,8,106,400000,0.1250,0.1250,0.0000,0.0000,0.0000,100,0.0000,1,400093,93,0,400000,400093,350,350,350,41.7
base,N19-CF4-10D,10,8,107,400000,0.0000,0.0000,0.0000,0.0000,0.0000,100,0.0000,0,400086,86,0,400000,400086,870,870,870,62.9
base,N19-CF4-10D,10,8,108,400000,0.1250,0.1250,0.1250,0.1250,0.1250,100,0.1250,1,400088,88,0,400000,400088,859,859,859,62.7
base,N19-CF4-10D,10,8,109,400000,0.1250,0.1250,0.1250,0.1250,0.0000,100,0.0000,1,400006,6,0,400000,400006,198,198,198,35.9
base,N19-CF4-10D,10,8,110,400000,0.3750,0.3750,0.3750,0.3750,0.2500,100,0.2500,3,400083,83,0,400000,400083,112,112,112,31.3
base,N19-CF4-10D,10,8,111,400000,0.3750,0.2500,0.2500,0.1250,0.1250,100,0.1250,3,400040,40,0,400000,400040,538,538,538,44.9
base,N19-CF4-10D,10,8,112,400000,0.3750,0.3750,0.1250,0.1250,0.1250,100,0.1250,3,400089,89,0,400000,400089,568,568,568,48.8
base,N19-CF4-10D,10,8,113,400000,0.0000,0.0000,0.0000,0.0000,0.0000,100,0.0000,0,400099,99,0,400000,400099,1039,1039,1039,67.3
base,N19-CF4-10D,10,8,114,400000,0.0000,0.0000,0.0000,0.0000,0.0000,100,0.0000,0,400027,27,0,400000,400027,793,793,793,57.2
