function,method,rule,seed,evals,n_optima,n_reported,pr_1e-1,pr_1e-2,pr_1e-3,pr_1e-4,pr_1e-5
N15-CF4-3D,NMMSO,current,300,400000,8,100,0.7500,0.7500,0.7500,0.7500,0.7500
N15-CF4-3D,NMMSO,current,301,400000,8,100,0.6250,0.6250,0.6250,0.6250,0.6250
N15-CF4-3D,NMMSO,current,302,400000,8,100,0.7500,0.7500,0.7500,0.7500,0.7500
N15-CF4-3D,NMMSO,current,303,400000,8,100,0.7500,0.7500,0.7500,0.7500,0.7500
N15-CF4-3D,NMMSO,current,304,400000,8,100,0.7500,0.7500,0.7500,0.7500,0.7500
N15-CF4-3D,NMMSO,current,305,400000,8,100,0.6250,0.6250,0.6250,0.6250,0.6250
N15-CF4-3D,NMMSO,current,306,400000,8,100,0.7500,0.7500,0.7500,0.7500,0.7500
N15-CF4-3D,NMMSO,current,307,400000,8,100,0.7500,0.7500,0.7500,0.7500,0.7500
N15-CF4-3D,NMMSO,current,308,400000,8,100,0.6250,0.6250,0.6250,0.6250,0.6250
N15-CF4-3D,NMMSO,current,309,400000,8,100,0.7500,0.7500,0.7500,0.7500,0.7500
N17-CF4-5D,NMMSO,current,300,400000,8,100,0.3750,0.3750,0.3750,0.3750,0.3750
N17-CF4-5D,NMMSO,current,301,400000,8,100,0.6250,0.6250,0.6250,0.6250,0.6250
N17-CF4-5D,NMMSO,current,302,400000,8,100,0.6250,0.6250,0.6250,0.6250,0.6250
N17-CF4-5D,NMMSO,current,303,400000,8,100,0.6250,0.6250,0.6250,0.5000,0.5000
N17-CF4-5D,NMMSO,current,304,400000,8,100,0.6250,0.6250,0.6250,0.6250,0.6250
N17-CF4-5D,NMMSO,current,305,400000,8,100,0.6250,0.6250,0.6250,0.6250,0.6250
N17-CF4-5D,NMMSO,current,306,400000,8,100,0.5000,0.5000,0.5000,0.5000,0.5000
N17-CF4-5D,NMMSO,current,307,400000,8,100,0.6250,0.6250,0.6250,0.6250,0.6250
N17-CF4-5D,NMMSO,current,308,400000,8,100,0.6250,0.6250,0.6250,0.6250,0.6250
N17-CF4-5D,NMMSO,current,309,400000,8,100,0.6250,0.6250,0.6250,0.6250,0.6250
N18-CF3-10D,NMMSO,current,300,400000,6,100,0.6667,0.6667,0.6667,0.6667,0.6667
N18-CF3-10D,NMMSO,current,301,400000,6,100,0.6667,0.6667,0.6667,0.6667,0.6667
N18-CF3-10D,NMMSO,current,302,400000,6,100,0.6667,0.6667,0.6667,0.6667,0.6667
N18-CF3-10D,NMMSO,current,303,400000,6,100,0.6667,0.6667,0.6667,0.6667,0.5000
N18-CF3-10D,NMMSO,current,304,400000,6,100,0.6667,0.6667,0.6667,0.6667,0.6667
N18-CF3-10D,NMMSO,current,305,400000,6,74,0.6667,0.6667,0.6667,0.6667,0.6667
N18-CF3-10D,NMMSO,current,306,400000,6,100,0.6667,0.6667,0.6667,0.6667,0.6667
N18-CF3-10D,NMMSO,current,307,400000,6,100,0.6667,0.6667,0.6667,0.6667,0.6667
N18-CF3-10D,NMMSO,current,308,400000,6,100,0.6667,0.6667,0.6667,0.6667,0.6667
N18-CF3-10D,NMMSO,current,309,400000,6,100,0.6667,0.6667,0.6667,0.6667,0.6667
N19-CF4-10D,NMMSO,current,300,400000,8,100,0.2500,0.2500,0.2500,0.2500,0.2500
N19-CF4-10D,NMMSO,current,301,400000,8,100,0.3750,0.3750,0.3750,0.3750,0.3750
N19-CF4-10D,NMMSO,current,302,400000,8,100,0.3750,0.2500,0.1250,0.1250,0.0000
N19-CF4-10D,NMMSO,current,303,400000,8,98,0.2500,0.2500,0.2500,0.2500,0.2500
N19-CF4-10D,NMMSO,current,304,400000,8,100,0.2500,0.2500,0.2500,0.2500,0.2500
N19-CF4-10D,NMMSO,current,305,400000,8,80,0.6250,0.6250,0.6250,0.6250,0.6250
N19-CF4-10D,NMMSO,current,306,400000,8,91,0.5000,0.5000,0.5000,0.5000,0.5000
N19-CF4-10D,NMMSO,current,307,400000,8,100,0.3750,0.3750,0.2500,0.2500,0.2500
N19-CF4-10D,NMMSO,current,308,400000,8,100,0.5000,0.5000,0.5000,0.3750,0.3750
N19-CF4-10D,NMMSO,current,309,400000,8,100,0.3750,0.3750,0.3750,0.3750,0.3750
N20-CF4-20D,NMMSO,current,300,400000,8,30,0.1250,0.1250,0.1250,0.1250,0.1250
N20-CF4-20D,NMMSO,current,301,400000,8,22,0.1250,0.1250,0.1250,0.1250,0.1250
N20-CF4-20D,NMMSO,current,302,400000,8,18,0.2500,0.2500,0.2500,0.2500,0.2500
N20-CF4-20D,NMMSO,current,303,400000,8,13,0.1250,0.1250,0.1250,0.0000,0.0000
N20-CF4-20D,NMMSO,current,304,400000,8,25,0.1250,0.1250,0.1250,0.1250,0.1250
N20-CF4-20D,NMMSO,current,305,400000,8,23,0.2500,0.2500,0.2500,0.2500,0.2500
N20-CF4-20D,NMMSO,current,306,400000,8,23,0.2500,0.2500,0.2500,0.2500,0.2500
N20-CF4-20D,NMMSO,current,307,400000,8,21,0.2500,0.2500,0.2500,0.2500,0.2500
N20-CF4-20D,NMMSO,current,308,400000,8,23,0.1250,0.1250,0.1250,0.1250,0.1250
N20-CF4-20D,NMMSO,current,309,400000,8,23,0.2500,0.2500,0.2500,0.2500,0.2500
