src,function,method,rule,seed,evals,n_optima,n_reported,pr_1e-1,pr_1e-2,pr_1e-3,pr_1e-4,pr_1e-5
M01-D10-PIN01_NMMSO_s2,M01-D10-PIN01,NMMSO,current,2,500000,20,17,0.7000,0.7000,0.6500,0.6500,0.5500
M01-D10-PIN01_NMMSO_s3,M01-D10-PIN01,NMMSO,current,3,500000,20,18,0.8500,0.8000,0.8000,0.8000,0.6000
M01-D10-PIN01_NMMSO_s4,M01-D10-PIN01,NMMSO,current,4,500000,20,16,0.8000,0.7500,0.7500,0.6500,0.5500
M02-D10-PIN01_NMMSO_s2,M02-D10-PIN01,NMMSO,current,2,500000,20,18,0.8500,0.8500,0.8500,0.6500,0.4000
M02-D10-PIN01_NMMSO_s3,M02-D10-PIN01,NMMSO,current,3,500000,20,14,0.6000,0.6000,0.6000,0.5500,0.3500
M02-D10-PIN01_NMMSO_s4,M02-D10-PIN01,NMMSO,current,4,500000,20,14,0.7000,0.7000,0.7000,0.5500,0.4000
M04-D10-PIN01_NMMSO_s2,M04-D10-PIN01,NMMSO,current,2,500000,20,13,0.6000,0.6000,0.6000,0.6000,0.6000
M04-D10-PIN01_NMMSO_s3,M04-D10-PIN01,NMMSO,current,3,500000,20,15,0.7000,0.7000,0.7000,0.7000,0.7000
M04-D10-PIN01_NMMSO_s4,M04-D10-PIN01,NMMSO,current,4,500000,20,14,0.7000,0.7000,0.7000,0.7000,0.7000
M10-D10-PIN01_NMMSO_s2,M10-D10-PIN01,NMMSO,current,2,500000,10,11,1.0000,1.0000,1.0000,0.5000,0.3000
M10-D10-PIN01_NMMSO_s3,M10-D10-PIN01,NMMSO,current,3,500000,10,11,1.0000,1.0000,1.0000,0.5000,0.3000
M10-D10-PIN01_NMMSO_s4,M10-D10-PIN01,NMMSO,current,4,500000,10,10,1.0000,1.0000,1.0000,0.4000,0.3000
M01-D10-PIN01_s2,M01-D10-PIN01,Restart-Lander,current,2,500000,20,67,0.6500,0.6500,0.6000,0.5500,0.5500
M01-D10-PIN01_s3,M01-D10-PIN01,Restart-Lander,current,3,500000,20,71,0.6500,0.6500,0.6500,0.6500,0.6000
M01-D10-PIN01_s4,M01-D10-PIN01,Restart-Lander,current,4,500000,20,73,0.5500,0.5500,0.5500,0.5000,0.4500
M02-D10-PIN01_s2,M02-D10-PIN01,Restart-Lander,current,2,500000,20,53,0.4500,0.4500,0.4500,0.4500,0.4500
M02-D10-PIN01_s3,M02-D10-PIN01,Restart-Lander,current,3,500000,20,47,0.5000,0.5000,0.5000,0.5000,0.4500
M02-D10-PIN01_s4,M02-D10-PIN01,Restart-Lander,current,4,500000,20,50,0.5000,0.5000,0.5000,0.5000,0.4500
M04-D10-PIN01_s2,M04-D10-PIN01,Restart-Lander,current,2,500000,20,100,0.6000,0.6000,0.6000,0.6000,0.6000
M04-D10-PIN01_s3,M04-D10-PIN01,Restart-Lander,current,3,500000,20,100,0.6000,0.6000,0.6000,0.6000,0.6000
M04-D10-PIN01_s4,M04-D10-PIN01,Restart-Lander,current,4,500000,20,100,0.4500,0.4500,0.4500,0.4500,0.4500
M10-D10-PIN01_s2,M10-D10-PIN01,Restart-Lander,current,2,500000,10,44,0.8000,0.8000,0.8000,0.6000,0.3000
M10-D10-PIN01_s3,M10-D10-PIN01,Restart-Lander,current,3,500000,10,43,0.7000,0.7000,0.7000,0.4000,0.3000
M10-D10-PIN01_s4,M10-D10-PIN01,Restart-Lander,current,4,500000,10,43,0.8000,0.8000,0.8000,0.5000,0.3000
