base,arm,acc,n_pairs,base_mean,arm_mean,mean_diff,w_l_t,p,rb
NCDE,NCDE-p300,pr_1e-1,50,0.1592,0.2067,0.0475,20/3/27,0.0014573,0.707
NCDE,NCDE-p300,pr_1e-2,50,0.1417,0.1892,0.0475,19/4/27,0.0030925,0.67
NCDE,NCDE-p300,pr_1e-3,50,0.1342,0.1717,0.0375,17/3/30,0.0057564,0.652
NCDE,NCDE-p300,pr_1e-4,50,0.1317,0.1492,0.0175,17/9/24,0.25496,0.234
NCDE,NCDE-p300,pr_1e-5,50,0.1267,0.1417,0.015,18/11/21,0.3482,0.182
r3pso,r3pso-p300,pr_1e-1,50,0.0908,0.2167,0.1258,38/1/11,1.8005e-07,0.931
r3pso,r3pso-p300,pr_1e-2,50,0.0908,0.2167,0.1258,38/1/11,1.8005e-07,0.931
r3pso,r3pso-p300,pr_1e-3,50,0.0883,0.2117,0.1233,38/1/11,1.7574e-07,0.928
r3pso,r3pso-p300,pr_1e-4,50,0.0883,0.2117,0.1233,38/1/11,1.7574e-07,0.928
r3pso,r3pso-p300,pr_1e-5,50,0.0858,0.2092,0.1233,38/1/11,1.7574e-07,0.928
