function,method,pr_1e-1,pr_1e-2,pr_1e-3,pr_1e-4,pr_1e-5
N15-CF4-3D,NCDE,0.2625,0.175,0.1625,0.15,0.1375
N15-CF4-3D,NCDE-p300,0.3875,0.3,0.25,0.2375,0.2375
N15-CF4-3D,r3pso,0.15,0.15,0.1375,0.1375,0.125
N15-CF4-3D,r3pso-p300,0.3625,0.3625,0.3375,0.3375,0.3375
N17-CF4-5D,NCDE,0.175,0.175,0.1625,0.1625,0.1625
N17-CF4-5D,NCDE-p300,0.25,0.25,0.25,0.25,0.25
N17-CF4-5D,r3pso,0.0875,0.0875,0.0875,0.0875,0.0875
N17-CF4-5D,r3pso-p300,0.225,0.225,0.225,0.225,0.225
N18-CF3-10D,NCDE,0.1834,0.1834,0.1834,0.1834,0.1834
N18-CF3-10D,NCDE-p300,0.1834,0.1834,0.1834,0.1834,0.1834
N18-CF3-10D,r3pso,0.1667,0.1667,0.1667,0.1667,0.1667
N18-CF3-10D,r3pso-p300,0.2333,0.2333,0.2333,0.2333,0.2333
N19-CF4-10D,NCDE,0.05,0.05,0.0375,0.0375,0.025
N19-CF4-10D,NCDE-p300,0.0875,0.0875,0.05,0.05,0.0375
N19-CF4-10D,r3pso,0.0125,0.0125,0.0125,0.0125,0.0125
N19-CF4-10D,r3pso-p300,0.1375,0.1375,0.1375,0.1375,0.125
N20-CF4-20D,NCDE,0.125,0.125,0.125,0.125,0.125
N20-CF4-20D,NCDE-p300,0.125,0.125,0.125,0.025,0.0
N20-CF4-20D,r3pso,0.0375,0.0375,0.0375,0.0375,0.0375
N20-CF4-20D,r3pso-p300,0.125,0.125,0.125,0.125,0.125
