pair,function,base,arm,diff,wlt,p
NCDE->300,N15-CF4-3D,0.1375,0.2375,0.1,8/0/2,0.007812
NCDE->300,N17-CF4-5D,0.1625,0.25,0.0875,7/0/3,0.01562
NCDE->300,N18-CF3-10D,0.1834,0.1834,0.0,1/1/8,1.0
NCDE->300,N19-CF4-10D,0.025,0.0375,0.0125,2/1/7,1.0
NCDE->300,N20-CF4-20D,0.125,0.0,-0.125,0/9/1,0.003906
r3pso->300,N15-CF4-3D,0.125,0.3375,0.2125,9/0/1,0.003906
r3pso->300,N17-CF4-5D,0.0875,0.225,0.1375,9/0/1,0.003906
r3pso->300,N18-CF3-10D,0.1667,0.2333,0.0667,5/1/4,0.1875
r3pso->300,N19-CF4-10D,0.0125,0.125,0.1125,8/0/2,0.007812
r3pso->300,N20-CF4-20D,0.0375,0.125,0.0875,7/0/3,0.01562
