problem,K,series,n_reported,mpr,mean_f1,score
M01-D10-PIN01,20,NCDE,1.0,0.0000,0.0000,0.0000
M02-D10-PIN01,20,NCDE,2.0,0.0900,0.1636,0.1268
M03-D10-PIN01,20,NCDE,1.0,0.0100,0.0190,0.0145
M04-D10-PIN01,20,NCDE,2.0,0.0900,0.1636,0.1268
M05-D10-PIN01,20,NCDE,1.0,0.0100,0.0190,0.0145
M06-D10-PIN01,20,NCDE,1.0,0.0100,0.0190,0.0145
M07-D10-PIN01,20,NCDE,4.0,0.0800,0.1333,0.1067
M08-D10-PIN01,20,NCDE,1.0,0.0000,0.0000,0.0000
M09-D10-PIN01,10,NCDE,2.0,0.2000,0.3333,0.2667
M10-D10-PIN01,10,NCDE,3.0,0.2400,0.3692,0.3046
M11-D10-PIN01,10,NCDE,1.0,0.0400,0.0727,0.0564
M12-D10-PIN01,10,NCDE,1.0,0.1000,0.1818,0.1409
M13-D10-PIN01,10,NCDE,2.0,0.2000,0.3333,0.2667
M14-D10-PIN01,10,NCDE,2.0,0.0200,0.0333,0.0267
M15-D10-PIN01,10,NCDE,1.0,0.1000,0.1818,0.1409
M16-D10-PIN01,10,NCDE,2.0,0.2000,0.3333,0.2667
M01-D10-PIN01,20,r3pso,4.0,0.2000,0.3333,0.2667
M02-D10-PIN01,20,r3pso,3.0,0.1300,0.2261,0.1780
M03-D10-PIN01,20,r3pso,3.0,0.1100,0.1913,0.1507
M04-D10-PIN01,20,r3pso,1.0,0.0500,0.0952,0.0726
M05-D10-PIN01,20,r3pso,1.0,0.0500,0.0952,0.0726
M06-D10-PIN01,20,r3pso,1.0,0.0500,0.0952,0.0726
M07-D10-PIN01,20,r3pso,2.0,0.0600,0.1091,0.0845
M08-D10-PIN01,20,r3pso,1.0,0.0500,0.0952,0.0726
M09-D10-PIN01,10,r3pso,1.0,0.1000,0.1818,0.1409
M10-D10-PIN01,10,r3pso,2.0,0.2000,0.3333,0.2667
M11-D10-PIN01,10,r3pso,2.0,0.2000,0.3333,0.2667
M12-D10-PIN01,10,r3pso,1.0,0.1000,0.1818,0.1409
M13-D10-PIN01,10,r3pso,1.0,0.1000,0.1818,0.1409
M14-D10-PIN01,10,r3pso,1.0,0.1000,0.1818,0.1409
M15-D10-PIN01,10,r3pso,1.0,0.1000,0.1818,0.1409
M16-D10-PIN01,10,r3pso,1.0,0.1000,0.1818,0.1409
M01-D10-PIN01,20,MC-ESO（その116）,13.0,0.2100,0.2545,0.2323
M02-D10-PIN01,20,MC-ESO（その116）,10.0,0.1800,0.2400,0.2100
M03-D10-PIN01,20,MC-ESO（その116）,1.0,0.0500,0.0952,0.0726
M04-D10-PIN01,20,MC-ESO（その116）,2.0,0.0700,0.1273,0.0986
M05-D10-PIN01,20,MC-ESO（その116）,1.0,0.0500,0.0952,0.0726
M06-D10-PIN01,20,MC-ESO（その116）,1.0,0.0000,0.0000,0.0000
