descent,evals,best_f,land_opt,dist,stop,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9
0,3010,7.1054273576e-14,8,1.99115e-08,maxfevals,0.610663648492,1.0551790932,-2.13748022348,-0.801122953116,2.68339976429,1.80112993876,0.258867297173,3.5636768189,2.6569665094,2.42752879422
1,3010,1.56319401867e-13,14,2.598e-08,maxfevals,3.23163561154,-3.51586120038,2.59915304222,-1.33264189132,1.46857234484,-2.5240386776,1.76268142691,0.979371271676,2.61779851453,-2.8082909572
2,3010,4.26325641456e-13,14,4.1268e-08,maxfevals,3.23163560935,-3.5158611721,2.59915301127,-1.33264190885,1.46857232079,-2.52403868075,1.76268142297,0.979371270703,2.61779850607,-2.80829095455
3,3010,5.68434188608e-14,11,1.44891e-08,maxfevals,-1.36535934597,2.09226538089,-2.20502855384,1.23287339835,2.03843400365,-1.82124814904,0.646419898628,1.54990126724,1.15703649568,-1.97523373272
4,3010,1.54348683168e-07,16,2.69606e-05,maxfevals,-3.19352881879,-2.90230877542,3.09411797143,-3.26801516259,3.30805747217,3.52508545362,-0.560357322545,0.978898993565,-0.492651086701,1.21241400243
5,3010,2.52811105383e-11,14,2.87119e-07,maxfevals,3.23163547876,-3.51586128603,2.59915297799,-1.33264187597,1.46857250169,-2.52403863468,1.76268144351,0.979371135411,2.61779848191,-2.8082909594
6,3010,18.9636494985,13,1.88538,maxfevals,-2.61446955568,1.672593015,1.79734519482,-4.36830810842,-3.22020305413,4.16211456285,-0.955075672679,1.40081745484,1.04068524433,-3.9372565018
7,3010,3.15474532124,18,0.637175,maxfevals,1.48185501083,1.63175125208,-3.60482997366,0.400157687132,0.93222909761,-0.743203089379,-3.95982116381,1.19229571349,-0.154573888005,1.55828871209
8,3010,1.18714211794e-06,12,0.000108515,maxfevals,3.17050938206,0.376951577093,-3.04939555232,1.17559537367,-1.32571915824,1.94856827031,2.49717925362,-2.36963631435,-3.33478696324,0.718545149998
9,3010,4.00746102969e-12,8,1.35518e-07,maxfevals,0.610663735546,1.05517907018,-2.1374802095,-0.801122926031,2.68339975108,1.80112987625,0.258867265154,3.5636768293,2.6569665502,2.42752879786
10,3010,2.98100806562,3,0.552285,maxfevals,1.7029235452,-2.23880225778,3.119391514,1.1335156937,-3.31217132556,-3.82206279026,-4.06838990384,-4.12145388321,-3.17433124043,-3.73604730728
11,3010,2.13162820728e-12,14,9.92597e-08,maxfevals,3.23163564791,-3.51586112575,2.5991530903,-1.33264191114,1.46857234998,-2.52403866678,1.76268141305,0.979371240738,2.61779852235,-2.80829095294
