descent_budget,problem,K,n_descents,score,mpr,mean_f1,n_reported,cov_1e-1,cov_1e-2,cov_1e-3,cov_1e-4,cov_1e-5,cov_mean
1540,M01-D10-PIN01,20,323,0.4550,0.3900,0.5200,10,0.5000,0.5000,0.3500,0.3000,0.3000,0.3900
1540,M02-D10-PIN01,20,323,0.4539,0.4300,0.4778,16,0.8000,0.8000,0.5000,0.0500,0.0000,0.4300
1540,M03-D10-PIN01,20,323,0.0137,0.0100,0.0174,3,0.0500,0.0000,0.0000,0.0000,0.0000,0.0100
1540,M04-D10-PIN01,20,323,0.5006,0.4600,0.5412,14,0.7000,0.6000,0.4500,0.3000,0.2500,0.4600
1540,M05-D10-PIN01,20,323,0.3700,0.3400,0.4000,14,0.7000,0.7000,0.3000,0.0000,0.0000,0.3400
1540,M06-D10-PIN01,20,323,0.5840,0.5100,0.6581,11,0.5500,0.5500,0.5500,0.5000,0.4000,0.5100
1540,M07-D10-PIN01,20,323,0.2748,0.2400,0.3097,11,0.5500,0.4000,0.2000,0.0500,0.0000,0.2400
1540,M08-D10-PIN01,20,323,0.1689,0.1600,0.1778,16,0.8000,0.0000,0.0000,0.0000,0.0000,0.1600
1540,M09-D10-PIN01,10,323,0.3157,0.2600,0.3714,4,0.4000,0.3000,0.3000,0.2000,0.1000,0.2600
1540,M10-D10-PIN01,10,323,0.4600,0.4600,0.4600,10,1.0000,1.0000,0.3000,0.0000,0.0000,0.4600
1540,M11-D10-PIN01,10,323,0.0000,0.0000,0.0000,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1540,M12-D10-PIN01,10,323,0.4433,0.3800,0.5067,5,0.5000,0.5000,0.5000,0.2000,0.2000,0.3800
1540,M13-D10-PIN01,10,323,0.3378,0.3200,0.3556,8,0.8000,0.5000,0.3000,0.0000,0.0000,0.3200
1540,M14-D10-PIN01,10,323,0.4614,0.3800,0.5429,4,0.4000,0.4000,0.4000,0.4000,0.3000,0.3800
1540,M15-D10-PIN01,10,323,0.2800,0.2400,0.3200,5,0.5000,0.4000,0.1000,0.1000,0.1000,0.2400
1540,M16-D10-PIN01,10,323,0.1350,0.1200,0.1500,6,0.6000,0.0000,0.0000,0.0000,0.0000,0.1200
2200,M01-D10-PIN01,20,227,0.5250,0.4500,0.6000,10,0.5000,0.5000,0.5000,0.4000,0.3500,0.4500
2200,M02-D10-PIN01,20,227,0.6107,0.5700,0.6514,15,0.7500,0.7500,0.7500,0.4500,0.1500,0.5700
2200,M03-D10-PIN01,20,227,0.1365,0.1100,0.1630,7,0.3500,0.2000,0.0000,0.0000,0.0000,0.1100
2200,M04-D10-PIN01,20,227,0.6194,0.5600,0.6788,13,0.6500,0.6500,0.6000,0.4500,0.4500,0.5600
2200,M05-D10-PIN01,20,227,0.6529,0.6000,0.7059,14,0.7000,0.7000,0.7000,0.6000,0.3000,0.6000
2200,M06-D10-PIN01,20,227,0.4857,0.4000,0.5714,8,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000
2200,M07-D10-PIN01,20,227,0.4123,0.3600,0.4645,11,0.5500,0.5000,0.4000,0.2500,0.1000,0.3600
2200,M08-D10-PIN01,20,227,0.5143,0.4800,0.5486,15,0.7500,0.7500,0.7500,0.1500,0.0000,0.4800
2200,M09-D10-PIN01,10,227,0.4371,0.3600,0.5143,4,0.4000,0.4000,0.4000,0.3000,0.3000,0.3600
2200,M10-D10-PIN01,10,227,0.6400,0.6400,0.6400,10,1.0000,1.0000,0.7000,0.3000,0.2000,0.6400
2200,M11-D10-PIN01,10,227,0.1015,0.0800,0.1231,3,0.3000,0.1000,0.0000,0.0000,0.0000,0.0800
2200,M12-D10-PIN01,10,227,0.5367,0.4600,0.6133,5,0.5000,0.5000,0.5000,0.4000,0.4000,0.4600
2200,M13-D10-PIN01,10,227,0.6544,0.6200,0.6889,8,0.8000,0.8000,0.7000,0.5000,0.3000,0.6200
2200,M14-D10-PIN01,10,227,0.4857,0.4000,0.5714,4,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000
2200,M15-D10-PIN01,10,227,0.3157,0.2600,0.3714,4,0.4000,0.3000,0.3000,0.2000,0.1000,0.2600
2200,M16-D10-PIN01,10,227,0.4135,0.3800,0.4471,7,0.7000,0.7000,0.5000,0.0000,0.0000,0.3800
3000,M01-D10-PIN01,20,167,0.5862,0.5300,0.6424,13,0.6500,0.5000,0.5000,0.5000,0.5000,0.5300
3000,M02-D10-PIN01,20,167,0.6312,0.5800,0.6824,14,0.7000,0.7000,0.7000,0.5000,0.3000,0.5800
3000,M03-D10-PIN01,20,167,0.2260,0.1900,0.2621,9,0.4500,0.3000,0.2000,0.0000,0.0000,0.1900
3000,M04-D10-PIN01,20,168,0.6747,0.6100,0.7394,13,0.6500,0.6500,0.6500,0.6500,0.4500,0.6100
3000,M05-D10-PIN01,20,167,0.7618,0.7000,0.8235,14,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000
3000,M06-D10-PIN01,20,168,0.4857,0.4000,0.5714,8,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000
3000,M07-D10-PIN01,20,167,0.4878,0.4100,0.5655,9,0.4500,0.4500,0.4500,0.4000,0.3000,0.4100
3000,M08-D10-PIN01,20,167,0.7618,0.7000,0.8235,14,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000
3000,M09-D10-PIN01,10,167,0.4857,0.4000,0.5714,4,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000
3000,M10-D10-PIN01,10,167,0.7000,0.7000,0.7000,10,1.0000,1.0000,0.9000,0.3000,0.3000,0.7000
3000,M11-D10-PIN01,10,167,0.2567,0.2200,0.2933,5,0.5000,0.3000,0.2000,0.1000,0.0000,0.2200
3000,M12-D10-PIN01,10,169,0.5876,0.5400,0.6353,7,0.7000,0.5000,0.5000,0.5000,0.5000,0.5400
3000,M13-D10-PIN01,10,167,0.8022,0.7600,0.8444,8,0.8000,0.8000,0.8000,0.8000,0.6000,0.7600
3000,M14-D10-PIN01,10,169,0.4857,0.4000,0.5714,4,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000
3000,M15-D10-PIN01,10,167,0.3400,0.2800,0.4000,4,0.4000,0.3000,0.3000,0.2000,0.2000,0.2800
3000,M16-D10-PIN01,10,167,0.7400,0.6800,0.8000,7,0.7000,0.7000,0.7000,0.7000,0.6000,0.6800
6000,M01-D10-PIN01,20,106,0.6439,0.6100,0.6778,16,0.8000,0.6500,0.5500,0.5500,0.5000,0.6100
6000,M02-D10-PIN01,20,90,0.6188,0.5500,0.6875,12,0.6000,0.6000,0.6000,0.5500,0.4000,0.5500
6000,M03-D10-PIN01,20,84,0.5400,0.4800,0.6000,12,0.6000,0.5000,0.5000,0.4000,0.4000,0.4800
6000,M04-D10-PIN01,20,123,0.7189,0.6500,0.7879,13,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500
6000,M05-D10-PIN01,20,118,0.7189,0.6500,0.7879,13,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500
6000,M06-D10-PIN01,20,157,0.4857,0.4000,0.5714,8,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000
6000,M07-D10-PIN01,20,113,0.5234,0.4400,0.6069,9,0.4500,0.4500,0.4500,0.4500,0.4000,0.4400
6000,M08-D10-PIN01,20,123,0.7189,0.6500,0.7879,13,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500
6000,M09-D10-PIN01,10,96,0.5133,0.4400,0.5867,5,0.5000,0.5000,0.4000,0.4000,0.4000,0.4400
6000,M10-D10-PIN01,10,86,0.7600,0.7600,0.7600,10,1.0000,1.0000,1.0000,0.5000,0.3000,0.7600
6000,M11-D10-PIN01,10,84,0.4900,0.4200,0.5600,5,0.5000,0.4000,0.4000,0.4000,0.4000,0.4200
6000,M12-D10-PIN01,10,133,0.7178,0.6800,0.7556,8,0.8000,0.7000,0.7000,0.6000,0.6000,0.6800
6000,M13-D10-PIN01,10,115,0.8444,0.8000,0.8889,8,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000
6000,M14-D10-PIN01,10,134,0.3808,0.3000,0.4615,3,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000
6000,M15-D10-PIN01,10,119,0.3886,0.3200,0.4571,4,0.4000,0.3000,0.3000,0.3000,0.3000,0.3200
6000,M16-D10-PIN01,10,116,0.7618,0.7000,0.8235,7,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000
12500,M01-D10-PIN01,20,76,0.7600,0.7200,0.8000,16,0.8000,0.8000,0.7000,0.6500,0.6500,0.7200
12500,M02-D10-PIN01,20,53,0.6069,0.5300,0.6839,11,0.5500,0.5500,0.5500,0.5500,0.4500,0.5300
12500,M03-D10-PIN01,20,45,0.5717,0.4900,0.6533,10,0.5000,0.5000,0.5000,0.5000,0.4500,0.4900
12500,M04-D10-PIN01,20,114,0.7189,0.6500,0.7879,13,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500
12500,M05-D10-PIN01,20,118,0.7189,0.6500,0.7879,13,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500
12500,M06-D10-PIN01,20,156,0.4857,0.4000,0.5714,8,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000
12500,M07-D10-PIN01,20,113,0.5234,0.4400,0.6069,9,0.4500,0.4500,0.4500,0.4500,0.4000,0.4400
12500,M08-D10-PIN01,20,123,0.7189,0.6500,0.7879,13,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500
12500,M09-D10-PIN01,10,57,0.5625,0.5000,0.6250,6,0.6000,0.5000,0.5000,0.5000,0.4000,0.5000
12500,M10-D10-PIN01,10,42,0.6529,0.6000,0.7059,7,0.7000,0.7000,0.7000,0.6000,0.3000,0.6000
12500,M11-D10-PIN01,10,46,0.5175,0.4600,0.5750,6,0.6000,0.5000,0.4000,0.4000,0.4000,0.4600
12500,M12-D10-PIN01,10,106,0.8416,0.8200,0.8632,9,0.9000,0.9000,0.8000,0.8000,0.7000,0.8200
12500,M13-D10-PIN01,10,113,0.8444,0.8000,0.8889,8,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000
12500,M14-D10-PIN01,10,130,0.3808,0.3000,0.4615,3,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000
12500,M15-D10-PIN01,10,119,0.3886,0.3200,0.4571,4,0.4000,0.3000,0.3000,0.3000,0.3000,0.3200
12500,M16-D10-PIN01,10,113,0.7618,0.7000,0.8235,7,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000
