series,problem,K,n_hunts,score,mpr,mean_f1,n_reported,cov_1e-1,cov_1e-2,cov_1e-3,cov_1e-4,cov_1e-5,cov_mean
Restart-Lander-1540,M01-D10-PIN01,20,323,0.4550,0.3900,0.5200,10,0.5000,0.5000,0.3500,0.3000,0.3000,0.3900
Restart-Lander-1540,M02-D10-PIN01,20,323,0.4539,0.4300,0.4778,16,0.8000,0.8000,0.5000,0.0500,0.0000,0.4300
Restart-Lander-1540,M03-D10-PIN01,20,323,0.0137,0.0100,0.0174,3,0.0500,0.0000,0.0000,0.0000,0.0000,0.0100
Restart-Lander-1540,M04-D10-PIN01,20,323,0.5006,0.4600,0.5412,14,0.7000,0.6000,0.4500,0.3000,0.2500,0.4600
Restart-Lander-1540,M05-D10-PIN01,20,323,0.3700,0.3400,0.4000,14,0.7000,0.7000,0.3000,0.0000,0.0000,0.3400
Restart-Lander-1540,M06-D10-PIN01,20,323,0.5840,0.5100,0.6581,11,0.5500,0.5500,0.5500,0.5000,0.4000,0.5100
Restart-Lander-1540,M07-D10-PIN01,20,323,0.2748,0.2400,0.3097,11,0.5500,0.4000,0.2000,0.0500,0.0000,0.2400
Restart-Lander-1540,M08-D10-PIN01,20,323,0.1689,0.1600,0.1778,16,0.8000,0.0000,0.0000,0.0000,0.0000,0.1600
Restart-Lander-1540,M09-D10-PIN01,10,323,0.3157,0.2600,0.3714,4,0.4000,0.3000,0.3000,0.2000,0.1000,0.2600
Restart-Lander-1540,M10-D10-PIN01,10,323,0.4600,0.4600,0.4600,10,1.0000,1.0000,0.3000,0.0000,0.0000,0.4600
Restart-Lander-1540,M11-D10-PIN01,10,323,0.0000,0.0000,0.0000,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Restart-Lander-1540,M12-D10-PIN01,10,323,0.4433,0.3800,0.5067,5,0.5000,0.5000,0.5000,0.2000,0.2000,0.3800
Restart-Lander-1540,M13-D10-PIN01,10,323,0.3378,0.3200,0.3556,8,0.8000,0.5000,0.3000,0.0000,0.0000,0.3200
Restart-Lander-1540,M14-D10-PIN01,10,323,0.4614,0.3800,0.5429,4,0.4000,0.4000,0.4000,0.4000,0.3000,0.3800
Restart-Lander-1540,M15-D10-PIN01,10,323,0.2800,0.2400,0.3200,5,0.5000,0.4000,0.1000,0.1000,0.1000,0.2400
Restart-Lander-1540,M16-D10-PIN01,10,323,0.1350,0.1200,0.1500,6,0.6000,0.0000,0.0000,0.0000,0.0000,0.1200
Restart-Lander,M01-D10-PIN01,20,76,0.7600,0.7200,0.8000,16,0.8000,0.8000,0.7000,0.6500,0.6500,0.7200
Restart-Lander,M02-D10-PIN01,20,53,0.6069,0.5300,0.6839,11,0.5500,0.5500,0.5500,0.5500,0.4500,0.5300
Restart-Lander,M03-D10-PIN01,20,45,0.5717,0.4900,0.6533,10,0.5000,0.5000,0.5000,0.5000,0.4500,0.4900
Restart-Lander,M04-D10-PIN01,20,114,0.7189,0.6500,0.7879,13,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500
Restart-Lander,M05-D10-PIN01,20,118,0.7189,0.6500,0.7879,13,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500
Restart-Lander,M06-D10-PIN01,20,156,0.4857,0.4000,0.5714,8,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000
Restart-Lander,M07-D10-PIN01,20,113,0.5234,0.4400,0.6069,9,0.4500,0.4500,0.4500,0.4500,0.4000,0.4400
Restart-Lander,M08-D10-PIN01,20,123,0.7189,0.6500,0.7879,13,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500
Restart-Lander,M09-D10-PIN01,10,57,0.5625,0.5000,0.6250,6,0.6000,0.5000,0.5000,0.5000,0.4000,0.5000
Restart-Lander,M10-D10-PIN01,10,42,0.6529,0.6000,0.7059,7,0.7000,0.7000,0.7000,0.6000,0.3000,0.6000
Restart-Lander,M11-D10-PIN01,10,46,0.5175,0.4600,0.5750,6,0.6000,0.5000,0.4000,0.4000,0.4000,0.4600
Restart-Lander,M12-D10-PIN01,10,106,0.8416,0.8200,0.8632,9,0.9000,0.9000,0.8000,0.8000,0.7000,0.8200
Restart-Lander,M13-D10-PIN01,10,113,0.8444,0.8000,0.8889,8,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000
Restart-Lander,M14-D10-PIN01,10,130,0.3808,0.3000,0.4615,3,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000
Restart-Lander,M15-D10-PIN01,10,119,0.3886,0.3200,0.4571,4,0.4000,0.3000,0.3000,0.3000,0.3000,0.3200
Restart-Lander,M16-D10-PIN01,10,113,0.7618,0.7000,0.8235,7,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000
MC-ESO,M01-D10-PIN01,20,318,,,,,0.6500,0.2500,0.0500,0.0500,0.0500,0.2100
MC-ESO,M02-D10-PIN01,20,318,,,,,0.5000,0.2500,0.0500,0.0500,0.0500,0.1800
MC-ESO,M03-D10-PIN01,20,317,,,,,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500
MC-ESO,M04-D10-PIN01,20,318,,,,,0.1000,0.1000,0.0500,0.0500,0.0500,0.0700
MC-ESO,M05-D10-PIN01,20,319,,,,,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500
MC-ESO,M06-D10-PIN01,20,324,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
MC-ESO,M07-D10-PIN01,20,319,,,,,0.0500,0.0500,0.0500,0.0000,0.0000,0.0300
MC-ESO,M08-D10-PIN01,20,321,,,,,0.0500,0.0500,0.0500,0.0500,0.0000,0.0400
MC-ESO,M09-D10-PIN01,10,309,,,,,0.6000,0.3000,0.1000,0.1000,0.1000,0.2400
MC-ESO,M10-D10-PIN01,10,314,,,,,0.5000,0.3000,0.1000,0.1000,0.1000,0.2200
MC-ESO,M11-D10-PIN01,10,317,,,,,0.2000,0.1000,0.1000,0.1000,0.1000,0.1200
MC-ESO,M12-D10-PIN01,10,314,,,,,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000
MC-ESO,M13-D10-PIN01,10,321,,,,,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000
MC-ESO,M14-D10-PIN01,10,319,,,,,0.2000,0.2000,0.1000,0.1000,0.1000,0.1400
MC-ESO,M15-D10-PIN01,10,319,,,,,0.2000,0.1000,0.1000,0.1000,0.1000,0.1200
MC-ESO,M16-D10-PIN01,10,319,,,,,0.1000,0.1000,0.1000,0.1000,0.0000,0.0800
