sigma_ratio,problem,K,n_descents,score,mpr,mean_f1,n_reported,cov_1e-1,cov_1e-2,cov_1e-3,cov_1e-4,cov_1e-5,cov_mean
0.05,M01-D10-PIN01,20,68,0.6526,0.5900,0.7152,13,0.6500,0.6500,0.5500,0.5500,0.5500,0.5900
0.05,M02-D10-PIN01,20,51,0.5600,0.4800,0.6400,10,0.5000,0.5000,0.5000,0.5000,0.4000,0.4800
0.05,M03-D10-PIN01,20,45,0.5600,0.4800,0.6400,10,0.5000,0.5000,0.5000,0.4500,0.4500,0.4800
0.05,M04-D10-PIN01,20,112,0.6750,0.6000,0.7500,12,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000
0.05,M05-D10-PIN01,20,119,0.7189,0.6500,0.7879,13,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500
0.05,M06-D10-PIN01,20,155,0.3808,0.3000,0.4615,6,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000
0.05,M07-D10-PIN01,20,112,0.5250,0.4500,0.6000,10,0.5000,0.5000,0.4500,0.4000,0.4000,0.4500
0.05,M08-D10-PIN01,20,118,0.7189,0.6500,0.7879,13,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500
0.05,M09-D10-PIN01,10,57,0.4900,0.4200,0.5600,5,0.5000,0.4000,0.4000,0.4000,0.4000,0.4200
0.05,M10-D10-PIN01,10,41,0.6756,0.6400,0.7111,8,0.8000,0.8000,0.8000,0.5000,0.3000,0.6400
0.05,M11-D10-PIN01,10,46,0.6075,0.5400,0.6750,6,0.6000,0.6000,0.5000,0.5000,0.5000,0.5400
0.05,M12-D10-PIN01,10,106,0.8211,0.8000,0.8421,9,0.9000,0.8000,0.8000,0.8000,0.7000,0.8000
0.05,M13-D10-PIN01,10,101,0.8444,0.8000,0.8889,8,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000
0.05,M14-D10-PIN01,10,131,0.3808,0.3000,0.4615,3,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000
0.05,M15-D10-PIN01,10,119,0.4129,0.3400,0.4857,4,0.4000,0.4000,0.4000,0.3000,0.2000,0.3400
0.05,M16-D10-PIN01,10,89,0.5833,0.5000,0.6667,5,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000
0.1,M01-D10-PIN01,20,76,0.7600,0.7200,0.8000,16,0.8000,0.8000,0.7000,0.6500,0.6500,0.7200
0.1,M02-D10-PIN01,20,53,0.6069,0.5300,0.6839,11,0.5500,0.5500,0.5500,0.5500,0.4500,0.5300
0.1,M03-D10-PIN01,20,45,0.5717,0.4900,0.6533,10,0.5000,0.5000,0.5000,0.5000,0.4500,0.4900
0.1,M04-D10-PIN01,20,114,0.7189,0.6500,0.7879,13,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500
0.1,M05-D10-PIN01,20,118,0.7189,0.6500,0.7879,13,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500
0.1,M06-D10-PIN01,20,156,0.4857,0.4000,0.5714,8,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000
0.1,M07-D10-PIN01,20,113,0.5234,0.4400,0.6069,9,0.4500,0.4500,0.4500,0.4500,0.4000,0.4400
0.1,M08-D10-PIN01,20,123,0.7189,0.6500,0.7879,13,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500
0.1,M09-D10-PIN01,10,57,0.5625,0.5000,0.6250,6,0.6000,0.5000,0.5000,0.5000,0.4000,0.5000
0.1,M10-D10-PIN01,10,42,0.6529,0.6000,0.7059,7,0.7000,0.7000,0.7000,0.6000,0.3000,0.6000
0.1,M11-D10-PIN01,10,46,0.5175,0.4600,0.5750,6,0.6000,0.5000,0.4000,0.4000,0.4000,0.4600
0.1,M12-D10-PIN01,10,106,0.8416,0.8200,0.8632,9,0.9000,0.9000,0.8000,0.8000,0.7000,0.8200
0.1,M13-D10-PIN01,10,113,0.8444,0.8000,0.8889,8,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000
0.1,M14-D10-PIN01,10,130,0.3808,0.3000,0.4615,3,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000
0.1,M15-D10-PIN01,10,119,0.3886,0.3200,0.4571,4,0.4000,0.3000,0.3000,0.3000,0.3000,0.3200
0.1,M16-D10-PIN01,10,113,0.7618,0.7000,0.8235,7,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000
0.2,M01-D10-PIN01,20,80,0.6858,0.6200,0.7515,13,0.6500,0.6500,0.6000,0.6000,0.6000,0.6200
0.2,M02-D10-PIN01,20,61,0.3808,0.3000,0.4615,6,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000
0.2,M03-D10-PIN01,20,46,0.6069,0.5300,0.6839,11,0.5500,0.5500,0.5500,0.5000,0.5000,0.5300
0.2,M04-D10-PIN01,20,131,0.6750,0.6000,0.7500,12,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000
0.2,M05-D10-PIN01,20,117,0.7189,0.6500,0.7879,13,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500
0.2,M06-D10-PIN01,20,154,0.4343,0.3500,0.5185,7,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500
0.2,M07-D10-PIN01,20,113,0.5353,0.4500,0.6207,9,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500
0.2,M08-D10-PIN01,20,123,0.8036,0.7500,0.8571,15,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500
0.2,M09-D10-PIN01,10,64,0.5850,0.5200,0.6500,6,0.6000,0.5000,0.5000,0.5000,0.5000,0.5200
0.2,M10-D10-PIN01,10,44,0.5367,0.4600,0.6133,5,0.5000,0.5000,0.5000,0.5000,0.3000,0.4600
0.2,M11-D10-PIN01,10,48,0.5133,0.4400,0.5867,5,0.5000,0.5000,0.4000,0.4000,0.4000,0.4400
0.2,M12-D10-PIN01,10,136,0.8211,0.8000,0.8421,9,0.9000,0.8000,0.8000,0.8000,0.7000,0.8000
0.2,M13-D10-PIN01,10,112,0.8444,0.8000,0.8889,8,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000
0.2,M14-D10-PIN01,10,140,0.3808,0.3000,0.4615,3,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000
0.2,M15-D10-PIN01,10,121,0.2667,0.2000,0.3333,2,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000
0.2,M16-D10-PIN01,10,116,0.5833,0.5000,0.6667,5,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000
