problem,K,rr_d20_mpr,rr_d20_f1,rr_d20_score,rr_d20_n,rl_d20_mpr,rl_d20_f1,rl_d20_score,rl_d20_n,rr_d10_score,rl_d10_score
M01,20,0.5500,0.7097,0.6298,11,0.5100,0.6581,0.5840,11,0.7189,0.7600
M02,20,0.2000,0.3333,0.2667,4,0.3800,0.5241,0.4521,9,0.3808,0.6069
M03,20,0.3500,0.5185,0.4343,7,0.1700,0.2615,0.2158,6,0.5833,0.5717
M04,20,0.1500,0.2609,0.2054,3,0.4000,0.5714,0.4857,8,0.4857,0.7189
M05,20,0.4500,0.6207,0.5353,9,0.6000,0.7500,0.6750,12,0.5833,0.7189
M06,20,0.2000,0.3333,0.2667,4,0.2500,0.4000,0.3250,5,0.5353,0.4857
M07,20,0.1900,0.3040,0.2470,5,0.2700,0.4154,0.3427,6,0.3808,0.5234
M08,20,0.4000,0.5714,0.4857,8,0.4500,0.6207,0.5353,9,0.7189,0.7189
M09,10,0.7000,0.8235,0.7618,7,0.3200,0.4571,0.3886,4,0.6750,0.5625
M10,10,0.5000,0.6667,0.5833,5,0.6000,0.6667,0.6333,8,0.4857,0.6529
M11,10,0.6800,0.8000,0.7400,7,0.1600,0.2462,0.2031,3,0.6750,0.5175
M12,10,0.6000,0.7500,0.6750,6,0.5600,0.6588,0.6094,7,0.4857,0.8416
M13,10,0.3000,0.4615,0.3808,3,0.5000,0.6667,0.5833,5,0.7618,0.8444
M14,10,0.2000,0.3333,0.2667,2,0.2000,0.3333,0.2667,2,0.3808,0.3808
M15,10,0.2800,0.4308,0.3554,3,0.3600,0.4800,0.4200,5,0.2667,0.3886
M16,10,0.4000,0.5714,0.4857,4,0.4000,0.5714,0.4857,4,0.4857,0.7618
