problem,K,rl_d5_mpr,rl_d5_f1,rl_d5_score,rl_d5_n,rr_d5_mpr,rr_d5_f1,rr_d5_score,rr_d5_n,rl_d10_score,rr_d10_score,rl_d20_score,rr_d20_score
M01,20,0.8500,0.9189,0.8845,17,0.8000,0.8889,0.8444,16,0.7600,0.7189,0.5840,0.6298
M02,20,0.5700,0.7125,0.6412,12,0.6000,0.7500,0.6750,12,0.6069,0.3808,0.4521,0.2667
M03,20,0.7000,0.8235,0.7618,14,0.6500,0.7879,0.7189,13,0.5717,0.5833,0.2158,0.4343
M04,20,0.7000,0.8235,0.7618,14,0.5500,0.7097,0.6298,11,0.7189,0.4857,0.4857,0.2054
M05,20,0.9000,0.9474,0.9237,18,0.9500,0.9744,0.9622,19,0.7189,0.5833,0.6750,0.5353
M06,20,0.6500,0.7879,0.7189,13,0.6500,0.7879,0.7189,13,0.4857,0.5353,0.3250,0.2667
M07,20,0.7200,0.8229,0.7714,15,0.5400,0.6968,0.6184,11,0.5234,0.3808,0.3427,0.2470
M08,20,0.8000,0.8889,0.8444,16,0.7500,0.8571,0.8036,15,0.7189,0.7189,0.5353,0.4857
M09,10,0.6600,0.7333,0.6967,8,0.8000,0.8889,0.8444,8,0.5625,0.6750,0.3886,0.7618
M10,10,0.6800,0.7556,0.7178,8,0.5000,0.6667,0.5833,5,0.6529,0.4857,0.6333,0.5833
M11,10,0.9400,0.9400,0.9400,10,1.0000,1.0000,1.0000,10,0.5175,0.6750,0.2031,0.7400
M12,10,0.8200,0.8632,0.8416,9,0.6000,0.7500,0.6750,6,0.8416,0.4857,0.6094,0.6750
M13,10,0.9000,0.9474,0.9237,9,0.9000,0.9474,0.9237,9,0.8444,0.7618,0.5833,0.3808
M14,10,0.4000,0.5714,0.4857,4,0.4000,0.5714,0.4857,4,0.3808,0.3808,0.2667,0.2667
M15,10,0.8000,0.8889,0.8444,8,0.5000,0.6667,0.5833,5,0.3886,0.2667,0.4200,0.3554
M16,10,0.6000,0.7500,0.6750,6,0.4000,0.5714,0.4857,4,0.7618,0.4857,0.4857,0.4857
