restart,evals_cum,evals_this,reason,archive_size
1,2017,2017,,1
2,3728,1711,,2
3,5691,1963,,3
4,8008,2317,,3
5,10221,2213,,3
6,12065,1844,,4
7,13758,1693,,5
8,15289,1531,,6
9,17576,2287,,7
10,19857,2281,,7
11,21889,2032,,8
12,24171,2282,,8
13,25825,1654,,9
14,28140,2315,,9
15,30383,2243,,9
16,32233,1850,,10
17,34437,2204,,10
18,36609,2172,,10
19,38281,1672,,11
20,40630,2349,,11
21,42931,2301,,11
22,45304,2373,,11
23,47748,2444,,12
24,49833,2085,,13
25,52111,2278,,14
26,54327,2216,,14
27,56391,2064,,14
28,58479,2088,,14
29,61015,2536,,14
30,63335,2320,,14
31,65502,2167,,15
32,67855,2353,,15
33,70408,2553,,15
34,72673,2265,,15
35,74705,2032,,16
36,77019,2314,,16
37,78949,1930,,16
38,81215,2266,,16
39,83329,2114,,16
40,85867,2538,,16
41,88164,2297,,17
42,90487,2323,,17
43,92330,1843,,17
44,94452,2122,,18
45,96736,2284,,18
46,98852,2116,,18
47,100960,2108,,18
48,103316,2356,,18
49,105296,1980,,18
50,107492,2196,,18
51,109664,2172,,18
52,112044,2380,,18
53,113852,1808,,19
54,116209,2357,,19
55,118422,2213,,19
56,120362,1940,,20
57,122624,2262,,20
58,124750,2126,,20
59,127076,2326,,20
60,129298,2222,,20
61,130959,1661,,21
62,132557,1598,,22
63,135205,2648,,22
64,137677,2472,,22
65,139489,1812,,23
66,141127,1638,,23
67,143216,2089,,23
68,145625,2409,,23
69,147618,1993,,23
70,149667,2049,,23
71,151353,1686,,23
72,153145,1792,,24
73,155482,2337,,25
74,157293,1811,,25
75,159656,2363,,25
76,161874,2218,,26
77,163998,2124,,26
78,166018,2020,,26
79,167886,1868,,26
80,170058,2172,,26
81,172190,2132,,26
82,174298,2108,,26
83,175675,1377,,27
84,177744,2069,,27
85,179637,1893,,27
86,181466,1829,,27
87,183647,2181,,27
88,185924,2277,,27
89,188329,2405,,27
90,190190,1861,,27
91,192155,1965,,27
92,193916,1761,,28
93,196162,2246,,28
94,198092,1930,,29
95,199923,1831,,29
96,202106,2183,,29
97,204329,2223,,29
98,205997,1668,,29
99,207900,1903,,29
100,209731,1831,,29
101,212002,2271,,29
102,213657,1655,,29
103,215437,1780,,29
104,217764,2327,,29
105,220123,2359,,29
106,222482,2359,,29
107,224521,2039,,29
108,226696,2175,,29
109,228567,1871,,29
110,230726,2159,,29
111,233085,2359,,29
112,235276,2191,,29
113,237355,2079,,29
114,239242,1887,,29
115,240829,1587,,30
116,242509,1680,,30
117,244773,2264,,30
118,247181,2408,,30
119,248713,1532,,31
