function,method,rule,seed,evals,n_optima,n_reported,pr_1e-1,pr_1e-2,pr_1e-3,pr_1e-4,pr_1e-5
M01-D05-PIN02,Restart-Lander,current,0,250000,20,45,0.6500,0.6500,0.6500,0.6500,0.6500
M01-D05-PIN03,Restart-Lander,current,0,250000,20,41,0.6500,0.6500,0.6500,0.6500,0.6500
M01-D05-PIN04,Restart-Lander,current,0,250000,20,42,0.6500,0.6500,0.6500,0.6500,0.6500
M02-D05-PIN02,Restart-Lander,current,0,250000,20,25,0.5000,0.5000,0.5000,0.5000,0.5000
M02-D05-PIN03,Restart-Lander,current,0,250000,20,21,0.5000,0.5000,0.5000,0.5000,0.4000
M02-D05-PIN04,Restart-Lander,current,0,250000,20,28,0.6000,0.6000,0.6000,0.6000,0.5000
M03-D05-PIN02,Restart-Lander,current,0,250000,20,72,0.7500,0.7500,0.7500,0.7500,0.7500
M03-D05-PIN03,Restart-Lander,current,0,250000,20,71,0.7000,0.7000,0.7000,0.7000,0.7000
M03-D05-PIN04,Restart-Lander,current,0,250000,20,60,0.7000,0.7000,0.7000,0.7000,0.7000
M04-D05-PIN02,Restart-Lander,current,0,250000,20,100,0.6500,0.6500,0.6500,0.6500,0.6500
M04-D05-PIN03,Restart-Lander,current,0,250000,20,100,0.7000,0.7000,0.7000,0.7000,0.7000
M04-D05-PIN04,Restart-Lander,current,0,250000,20,100,0.8000,0.8000,0.8000,0.8000,0.8000
M05-D05-PIN02,Restart-Lander,current,0,250000,20,100,0.9000,0.9000,0.9000,0.9000,0.9000
M05-D05-PIN03,Restart-Lander,current,0,250000,20,100,0.8500,0.8500,0.8500,0.8500,0.8500
M05-D05-PIN04,Restart-Lander,current,0,250000,20,100,0.7500,0.7500,0.7500,0.7500,0.7500
M06-D05-PIN02,Restart-Lander,current,0,250000,20,100,0.7000,0.7000,0.7000,0.7000,0.7000
M06-D05-PIN03,Restart-Lander,current,0,250000,20,100,0.7000,0.7000,0.7000,0.7000,0.7000
M06-D05-PIN04,Restart-Lander,current,0,250000,20,100,0.7000,0.7000,0.7000,0.7000,0.7000
M07-D05-PIN02,Restart-Lander,current,0,250000,20,100,0.6500,0.6500,0.6500,0.6500,0.6500
M07-D05-PIN03,Restart-Lander,current,0,250000,20,100,0.6500,0.6500,0.6500,0.6500,0.6500
M07-D05-PIN04,Restart-Lander,current,0,250000,20,100,0.6500,0.6500,0.6500,0.6500,0.6500
M08-D05-PIN02,Restart-Lander,current,0,250000,20,100,0.8500,0.8500,0.8500,0.8500,0.8500
M08-D05-PIN03,Restart-Lander,current,0,250000,20,100,0.8000,0.8000,0.8000,0.8000,0.8000
M08-D05-PIN04,Restart-Lander,current,0,250000,20,100,0.7500,0.7500,0.7500,0.7500,0.7500
M09-D05-PIN02,Restart-Lander,current,0,250000,10,40,0.6000,0.6000,0.5000,0.5000,0.5000
M09-D05-PIN03,Restart-Lander,current,0,250000,10,35,0.6000,0.6000,0.5000,0.5000,0.5000
M09-D05-PIN04,Restart-Lander,current,0,250000,10,52,0.5000,0.5000,0.5000,0.5000,0.5000
M10-D05-PIN02,Restart-Lander,current,0,250000,10,32,0.8000,0.8000,0.8000,0.7000,0.4000
M10-D05-PIN03,Restart-Lander,current,0,250000,10,23,0.8000,0.8000,0.8000,0.8000,0.5000
M10-D05-PIN04,Restart-Lander,current,0,250000,10,24,0.7000,0.7000,0.7000,0.7000,0.3000
M11-D05-PIN02,Restart-Lander,current,0,250000,10,45,0.8000,0.8000,0.8000,0.8000,0.8000
M11-D05-PIN03,Restart-Lander,current,0,250000,10,38,0.9000,0.8000,0.8000,0.8000,0.8000
M11-D05-PIN04,Restart-Lander,current,0,250000,10,47,0.8000,0.8000,0.8000,0.8000,0.8000
M12-D05-PIN02,Restart-Lander,current,0,250000,10,45,1.0000,0.9000,0.9000,0.9000,0.9000
M12-D05-PIN03,Restart-Lander,current,0,250000,10,61,1.0000,0.9000,0.9000,0.9000,0.9000
M12-D05-PIN04,Restart-Lander,current,0,250000,10,41,1.0000,0.9000,0.9000,0.9000,0.9000
M13-D05-PIN02,Restart-Lander,current,0,250000,10,99,1.0000,1.0000,1.0000,1.0000,1.0000
M13-D05-PIN03,Restart-Lander,current,0,250000,10,97,0.9000,0.9000,0.9000,0.9000,0.9000
M13-D05-PIN04,Restart-Lander,current,0,250000,10,98,0.9000,0.9000,0.9000,0.9000,0.9000
M14-D05-PIN02,Restart-Lander,current,0,250000,10,100,0.6000,0.6000,0.6000,0.6000,0.6000
M14-D05-PIN03,Restart-Lander,current,0,250000,10,100,0.7000,0.7000,0.7000,0.7000,0.7000
M14-D05-PIN04,Restart-Lander,current,0,250000,10,100,0.5000,0.5000,0.5000,0.5000,0.5000
M15-D05-PIN02,Restart-Lander,current,0,250000,10,100,0.8000,0.8000,0.8000,0.7000,0.7000
M15-D05-PIN03,Restart-Lander,current,0,250000,10,100,0.7000,0.7000,0.7000,0.7000,0.7000
M15-D05-PIN04,Restart-Lander,current,0,250000,10,100,0.8000,0.8000,0.8000,0.8000,0.8000
M16-D05-PIN02,Restart-Lander,current,0,250000,10,100,0.7000,0.7000,0.7000,0.7000,0.7000
M16-D05-PIN03,Restart-Lander,current,0,250000,10,100,0.6000,0.6000,0.6000,0.6000,0.6000
M16-D05-PIN04,Restart-Lander,current,0,250000,10,99,0.8000,0.8000,0.8000,0.8000,0.8000
