problem,K,n_mc,n_null,ev_med_null,uniq_null,cov_mc_1e-1,cov_mc_1e-2,cov_mc_1e-3,cov_mc_1e-4,cov_mc_1e-5,cov_null_1e-1,cov_null_1e-2,cov_null_1e-3,cov_null_1e-4,cov_null_1e-5
M01-D10-PIN01,20,318,76,4890,16,0.6500,0.2500,0.0500,0.0500,0.0500,0.8000,0.8000,0.7000,0.6500,0.6500
M02-D10-PIN01,20,318,53,12510,11,0.5000,0.2500,0.0500,0.0500,0.0500,0.5500,0.5500,0.5500,0.5500,0.4500
M03-D10-PIN01,20,317,45,12190,10,0.0500,0.0500,0.0500,0.0500,0.0500,0.5000,0.5000,0.5000,0.5000,0.4500
M04-D10-PIN01,20,318,114,3515,13,0.1000,0.1000,0.0500,0.0500,0.0500,0.6500,0.6500,0.6500,0.6500,0.6500
M05-D10-PIN01,20,319,118,4030,13,0.0500,0.0500,0.0500,0.0500,0.0500,0.6500,0.6500,0.6500,0.6500,0.6500
M06-D10-PIN01,20,324,156,3170,15,0.0000,0.0000,0.0000,0.0000,0.0000,0.4000,0.4000,0.4000,0.4000,0.4000
M07-D10-PIN01,20,319,113,4460,10,0.0500,0.0500,0.0500,0.0000,0.0000,0.4500,0.4500,0.4500,0.4500,0.4000
M08-D10-PIN01,20,321,123,4040,13,0.0500,0.0500,0.0500,0.0500,0.0000,0.6500,0.6500,0.6500,0.6500,0.6500
M09-D10-PIN01,10,309,57,10000,9,0.6000,0.3000,0.1000,0.1000,0.1000,0.6000,0.5000,0.5000,0.5000,0.4000
M10-D10-PIN01,10,314,42,12510,7,0.5000,0.3000,0.1000,0.1000,0.1000,0.7000,0.7000,0.7000,0.6000,0.3000
M11-D10-PIN01,10,317,46,11050,9,0.2000,0.1000,0.1000,0.1000,0.1000,0.6000,0.5000,0.4000,0.4000,0.4000
M12-D10-PIN01,10,314,106,3215,9,0.1000,0.1000,0.1000,0.1000,0.1000,0.9000,0.9000,0.8000,0.8000,0.7000
M13-D10-PIN01,10,321,113,4030,9,0.1000,0.1000,0.1000,0.1000,0.1000,0.8000,0.8000,0.8000,0.8000,0.8000
M14-D10-PIN01,10,319,130,3365,10,0.2000,0.2000,0.1000,0.1000,0.1000,0.3000,0.3000,0.3000,0.3000,0.3000
M15-D10-PIN01,10,319,119,4070,8,0.2000,0.1000,0.1000,0.1000,0.1000,0.4000,0.3000,0.3000,0.3000,0.3000
M16-D10-PIN01,10,319,113,4180,10,0.1000,0.1000,0.1000,0.1000,0.0000,0.7000,0.7000,0.7000,0.7000,0.7000
