function,method,rule,seed,evals,n_optima,n_reported,pr_1e-1,pr_1e-2,pr_1e-3,pr_1e-4,pr_1e-5
N14-CF3-3D,Restart-Lander,current,0,400000,6,100,0.6667,0.6667,0.6667,0.6667,0.6667
N14-CF3-3D,NMMSO,current,0,400000,6,100,0.6667,0.6667,0.6667,0.6667,0.6667
N15-CF4-3D,Restart-Lander,current,0,400000,8,100,0.7500,0.7500,0.7500,0.7500,0.7500
N15-CF4-3D,NMMSO,current,0,400000,8,100,0.7500,0.7500,0.7500,0.7500,0.7500
N16-CF3-5D,Restart-Lander,current,0,400000,6,100,0.6667,0.6667,0.6667,0.6667,0.6667
N16-CF3-5D,NMMSO,current,0,400000,6,100,0.6667,0.6667,0.6667,0.6667,0.6667
N17-CF4-5D,Restart-Lander,current,0,400000,8,100,0.7500,0.7500,0.7500,0.7500,0.7500
N17-CF4-5D,NMMSO,current,0,400000,8,100,0.5000,0.5000,0.5000,0.5000,0.5000
N18-CF3-10D,Restart-Lander,current,0,400000,6,100,0.6667,0.6667,0.6667,0.6667,0.6667
N18-CF3-10D,NMMSO,current,0,400000,6,83,0.6667,0.6667,0.6667,0.6667,0.6667
N19-CF4-10D,Restart-Lander,current,0,400000,8,95,0.5000,0.5000,0.5000,0.5000,0.5000
N19-CF4-10D,NMMSO,current,0,400000,8,100,0.2500,0.2500,0.2500,0.1250,0.0000
N20-CF4-20D,Restart-Lander,current,0,400000,8,48,0.3750,0.3750,0.3750,0.3750,0.3750
N20-CF4-20D,NMMSO,current,0,400000,8,18,0.2500,0.2500,0.1250,0.1250,0.1250
N14-CF3-3D,Restart-Lander,current,1,400000,6,100,0.6667,0.6667,0.6667,0.6667,0.6667
N14-CF3-3D,Restart-Lander,current,2,400000,6,100,0.6667,0.6667,0.6667,0.6667,0.6667
N14-CF3-3D,NMMSO,current,1,400000,6,100,0.8333,0.8333,0.8333,0.8333,0.8333
N14-CF3-3D,NMMSO,current,2,400000,6,100,0.8333,0.6667,0.6667,0.6667,0.6667
N15-CF4-3D,Restart-Lander,current,1,400000,8,100,0.7500,0.7500,0.7500,0.7500,0.7500
N15-CF4-3D,Restart-Lander,current,2,400000,8,100,0.7500,0.7500,0.7500,0.7500,0.7500
N15-CF4-3D,NMMSO,current,1,400000,8,100,0.7500,0.7500,0.7500,0.7500,0.7500
N15-CF4-3D,NMMSO,current,2,400000,8,100,0.7500,0.7500,0.7500,0.7500,0.7500
N16-CF3-5D,Restart-Lander,current,1,400000,6,100,0.6667,0.6667,0.6667,0.6667,0.6667
N16-CF3-5D,Restart-Lander,current,2,400000,6,100,0.6667,0.6667,0.6667,0.6667,0.6667
N16-CF3-5D,NMMSO,current,1,400000,6,100,0.6667,0.6667,0.6667,0.6667,0.6667
N16-CF3-5D,NMMSO,current,2,400000,6,100,0.6667,0.6667,0.6667,0.6667,0.6667
N17-CF4-5D,Restart-Lander,current,1,400000,8,100,0.7500,0.7500,0.7500,0.7500,0.7500
N17-CF4-5D,Restart-Lander,current,2,400000,8,100,0.7500,0.7500,0.7500,0.7500,0.7500
N17-CF4-5D,NMMSO,current,1,400000,8,100,0.6250,0.6250,0.6250,0.6250,0.6250
N17-CF4-5D,NMMSO,current,2,400000,8,100,0.3750,0.3750,0.3750,0.3750,0.3750
N18-CF3-10D,Restart-Lander,current,1,400000,6,100,0.6667,0.6667,0.6667,0.6667,0.6667
N18-CF3-10D,Restart-Lander,current,2,400000,6,100,0.6667,0.6667,0.6667,0.6667,0.6667
N18-CF3-10D,NMMSO,current,1,400000,6,100,0.6667,0.6667,0.6667,0.6667,0.6667
N18-CF3-10D,NMMSO,current,2,400000,6,100,0.6667,0.6667,0.6667,0.6667,0.6667
N19-CF4-10D,Restart-Lander,current,1,400000,8,95,0.5000,0.5000,0.5000,0.5000,0.5000
N19-CF4-10D,Restart-Lander,current,2,400000,8,97,0.6250,0.6250,0.6250,0.6250,0.6250
N19-CF4-10D,NMMSO,current,1,400000,8,100,0.3750,0.3750,0.3750,0.3750,0.3750
N19-CF4-10D,NMMSO,current,2,400000,8,68,0.5000,0.5000,0.5000,0.5000,0.3750
N20-CF4-20D,Restart-Lander,current,1,400000,8,47,0.3750,0.3750,0.3750,0.3750,0.3750
N20-CF4-20D,Restart-Lander,current,2,400000,8,46,0.3750,0.3750,0.3750,0.3750,0.3750
N20-CF4-20D,NMMSO,current,1,400000,8,19,0.2500,0.2500,0.2500,0.2500,0.2500
N20-CF4-20D,NMMSO,current,2,400000,8,21,0.2500,0.2500,0.2500,0.2500,0.2500
