problem,method,seed,K,evals,n_reported,mpr,f1,score,pr_1e-1,pr_1e-2,pr_1e-3,pr_1e-4,pr_1e-5,descents,descent_evals_mean
N14-CF3-3D,Restart-Lander,0,6,400000,100,0.6667,0.0755,0.3711,0.6667,0.6667,0.6667,0.6667,0.6667,358,1117
N14-CF3-3D,Restart-Lander,1,6,400000,100,0.6667,0.0755,0.3711,0.6667,0.6667,0.6667,0.6667,0.6667,363,1102
N14-CF3-3D,Restart-Lander,2,6,400000,100,0.6667,0.0755,0.3711,0.6667,0.6667,0.6667,0.6667,0.6667,356,1124
N14-CF3-3D,NMMSO,0,6,400000,100,0.6667,0.0755,0.3711,0.6667,0.6667,0.6667,0.6667,0.6667,,
N14-CF3-3D,NMMSO,1,6,400000,100,0.8333,0.0943,0.4638,0.8333,0.8333,0.8333,0.8333,0.8333,,
N14-CF3-3D,NMMSO,2,6,400000,100,0.7000,0.0792,0.3896,0.8333,0.6667,0.6667,0.6667,0.6667,,
N15-CF4-3D,Restart-Lander,0,8,400000,100,0.7500,0.1111,0.4306,0.7500,0.7500,0.7500,0.7500,0.7500,237,1688
N15-CF4-3D,Restart-Lander,1,8,400000,100,0.7500,0.1111,0.4306,0.7500,0.7500,0.7500,0.7500,0.7500,239,1674
N15-CF4-3D,Restart-Lander,2,8,400000,100,0.7500,0.1111,0.4306,0.7500,0.7500,0.7500,0.7500,0.7500,227,1762
N15-CF4-3D,NMMSO,0,8,400000,100,0.7500,0.1111,0.4306,0.7500,0.7500,0.7500,0.7500,0.7500,,
N15-CF4-3D,NMMSO,1,8,400000,100,0.7500,0.1111,0.4306,0.7500,0.7500,0.7500,0.7500,0.7500,,
N15-CF4-3D,NMMSO,2,8,400000,100,0.7500,0.1111,0.4306,0.7500,0.7500,0.7500,0.7500,0.7500,,
N16-CF3-5D,Restart-Lander,0,6,400000,100,0.6667,0.0755,0.3711,0.6667,0.6667,0.6667,0.6667,0.6667,233,1717
N16-CF3-5D,Restart-Lander,1,6,400000,100,0.6667,0.0755,0.3711,0.6667,0.6667,0.6667,0.6667,0.6667,228,1754
N16-CF3-5D,Restart-Lander,2,6,400000,100,0.6667,0.0755,0.3711,0.6667,0.6667,0.6667,0.6667,0.6667,224,1786
N16-CF3-5D,NMMSO,0,6,400000,100,0.6667,0.0755,0.3711,0.6667,0.6667,0.6667,0.6667,0.6667,,
N16-CF3-5D,NMMSO,1,6,400000,100,0.6667,0.0755,0.3711,0.6667,0.6667,0.6667,0.6667,0.6667,,
N16-CF3-5D,NMMSO,2,6,400000,100,0.6667,0.0755,0.3711,0.6667,0.6667,0.6667,0.6667,0.6667,,
N17-CF4-5D,Restart-Lander,0,8,400000,100,0.7500,0.1111,0.4306,0.7500,0.7500,0.7500,0.7500,0.7500,171,2339
