K,base_cost,base_draws,base_hit,base_mpr,base_pr1e5,base_reach_n,base_sup,func,meas,n,rl_cost,rl_hi,rl_hit,rl_lo,rl_miss,rl_mpr,rl_pr1e5,rl_reach_n,rl_restarts,rl_sup
20,6393.45,200,0.87,0.5237213567889443,0.49446281389676655,11,0.5900000000000001,M01-D10-PIN01,0.72,200,6832.15,0.6044355770941019,0.845,0.5060418283920933,"1,4,6,7,13,18,19",0.5747602049686588,0.5311139958834427,13,73.18340493109783,0.72
20,8871.2,200,1.0,0.3597050109555522,0.3597050109555522,8,0.4,M02-D10-PIN01,0.53,200,10208.65,0.463257311189154,0.965,0.40011572672269635,"0,1,2,5,7,9,10,11,12,14,17,19",0.4414318405119616,0.38754672727897993,8,48.97807251693417,0.5599999999999999
20,11262.3,200,0.89,0.47586629498721367,0.4511679746119567,11,0.5799999999999998,M03-D10-PIN01,0.49,200,11311.3,0.5582080549945752,0.87,0.49010076042268685,"1,2,3,6,9,10,12,17",0.538041395108476,0.46604320636975166,12,44.20358402659288,0.6799999999999999
20,3702.7,200,1.0,0.4861007180823361,0.4861007180823361,11,0.55,M04-D10-PIN01,0.65,200,4224.65,0.682810671809383,1.0,0.5518777564983195,"0,2,10,18,19",0.6525075988893364,0.6525075988893364,15,118.3529996567763,0.75
20,4339.2,200,0.87,0.6620323086206701,0.6620323086206701,14,0.7,M05-D10-PIN01,0.65,200,4278.35,0.6479636322598384,0.87,0.5415354830031756,"0,6,8,9,15,18",0.6230665918822206,0.6230665918822206,14,116.86748395993781,0.7
20,3269.8,200,0.205,0.3474141266136054,0.3474141266136054,8,0.4,M06-D10-PIN01,0.4,200,3213.75,0.36120428134960847,0.105,0.19858317209754725,"3,4,5,6,7,8,12,15,16,17,18",0.33066013725749166,0.33066013725749166,9,155.58148580318942,0.45
20,4416.5,200,0.715,0.4514717119200645,0.4374778131085669,10,0.5,M07-D10-PIN01,0.44,200,4440.65,0.552061032333749,0.65,0.4545510899226602,"0,1,7,12,15,16,18,19",0.5226738155982187,0.5198432906001823,12,112.59612894508687,0.6
20,4106.75,200,0.84,0.5563413531045867,0.5563413531045867,14,0.7,M08-D10-PIN01,0.65,200,4085.05,0.6364736972935482,0.76,0.516299184757276,"4,8,14,15,16,19",0.6051284099602727,0.6051284099602727,14,122.39752267414107,0.7
10,3639.4,200,0.985,0.6665208985899514,0.6117289189687969,7,0.8,M12-D10-PIN01,0.78,200,4506.2,0.748003005684475,0.955,0.611951757081259,"4,7,9",0.7053847945409805,0.6386499339524218,7,110.95823532022547,0.8
10,4448.4,200,0.825,0.6952962693874517,0.6952962693874517,7,0.7,M13-D10-PIN01,0.8,200,4531.95,0.7759042828414578,0.845,0.6701355331472848,"2,5",0.7381653295190788,0.7381653295190788,8,110.3277838458059,0.8
10,3639.9,200,0.27,0.3482364396136817,0.3482364396136817,4,0.4,M14-D10-PIN01,0.3,200,3650.8,0.29998808878512445,0.225,0.2926762919178617,"0,1,2,3,6,7,8",0.29979658865010866,0.29979658865010866,3,136.95628355428946,0.3
10,4243.75,200,0.845,0.31217099269196524,0.24459937448888308,3,0.36000000000000004,M15-D10-PIN01,0.3,200,4287.05,0.41186589681563196,0.795,0.30481410349873667,"2,3,4,6,7,9",0.37867626385558084,0.3426996731158975,4,116.63031688457097,0.43999999999999995
10,4209.65,200,0.715,0.5605508104258086,0.5605508104258086,6,0.6,M16-D10-PIN01,0.7,200,4412.35,0.5972276791944089,0.63,0.5249861482603096,"2,4,7,9",0.5866867507062765,0.5866867507062765,6,113.3182997722302,0.6
