func,K,draws,hit_rate,mean_evals,restarts_per_run,reachable,exp_distinct,pr_ceiling
M01-D10-PIN01,20,40,0.9,5754.25,86.89229699787114,8,7.9651892938648405,0.398259464693242
M02-D10-PIN01,20,40,1.0,8239.75,60.681452713977976,8,7.33487279383659,0.3667436396918295
M03-D10-PIN01,20,40,0.85,11467.5,43.60148245040332,10,9.315006546662064,0.4657503273331032
M04-D10-PIN01,20,40,1.0,3967.5,126.0239445494644,9,8.955684175524405,0.44778420877622027
M05-D10-PIN01,20,40,0.95,4440.75,112.59359342453415,12,11.759148504382855,0.5879574252191427
M06-D10-PIN01,20,40,0.125,3230.75,154.7628259692022,3,2.960242770567114,0.1480121385283557
M07-D10-PIN01,20,40,0.725,4562.25,109.59504630390707,9,8.871051465678395,0.4435525732839197
M08-D10-PIN01,20,40,0.75,4119.0,121.38868657441127,8,7.814920709888311,0.39074603549441556
M09-D10-PIN01,10,40,0.7,8025.25,62.30335503566867,3,2.9590630393379156,0.2959063039337916
M10-D10-PIN01,10,40,0.825,11843.5,42.217249968337065,3,2.962774149355378,0.2962774149355378
M11-D10-PIN01,10,40,0.825,10371.25,48.21019645655056,4,3.9156344586456346,0.3915634458645635
M12-D10-PIN01,10,40,1.0,3332.25,150.0487658489009,3,2.9999916898512256,0.2999991689851226
M13-D10-PIN01,10,40,0.75,4545.75,109.9928504647198,7,6.872958968831579,0.687295896883158
M14-D10-PIN01,10,40,0.25,3775.75,132.42402171753957,2,1.9988778001067917,0.19988778001067917
M15-D10-PIN01,10,40,0.825,4264.75,117.2401664810364,2,1.9999999946903841,0.1999999994690384
M16-D10-PIN01,10,40,0.7,4276.75,116.91120593908926,5,4.945686473050694,0.4945686473050694
