func,K,draws,hit_1e-5,reached_1e-5,restarts,pr_1e-1,pr_1e-3,pr_1e-5,mpr,mpr_lo,mpr_hi,mpr_first40,mpr_sup,mpr_earlystop
M01-D10-PIN01,20,200,0.87,11,78.20503796854594,0.5614782799754976,0.5225111116014332,0.49446281389676655,0.5237213567889443,0.47324052158180535,0.5447960617443877,0.42539477248643454,0.5900000000000001,nan
M02-D10-PIN01,20,200,1.0,8,56.36216069979258,0.3597050109555522,0.3597050109555522,0.3597050109555522,0.3597050109555522,0.318227357732096,0.3747891715169973,0.367708749212465,0.4,nan
M03-D10-PIN01,20,200,0.89,11,44.39590492173002,0.49925820662407216,0.4753562179062132,0.4511679746119567,0.47586629498721367,0.4344025382354756,0.4960288403410448,0.4923346899648604,0.5799999999999998,nan
M04-D10-PIN01,20,200,1.0,11,135.03659491722257,0.4861007180823361,0.4861007180823361,0.4861007180823361,0.4861007180823361,0.42074847548426253,0.5168065541294463,0.39987426836467843,0.55,0.531311489624688
M05-D10-PIN01,20,200,0.87,14,115.22861356932154,0.6620323086206701,0.6620323086206701,0.6620323086206701,0.6620323086206701,0.5943856317542411,0.6778719365683731,0.5879574252191427,0.7,0.6908528697178036
M06-D10-PIN01,20,200,0.205,8,152.91455134870634,0.3474141266136054,0.3474141266136054,0.3474141266136054,0.3474141266136054,0.27117318930886825,0.37139435427884904,0.1480121385283557,0.4,0.3541654963694129
M07-D10-PIN01,20,200,0.715,10,113.21181931393637,0.4610182981382166,0.4537445565101357,0.4374778131085669,0.4514717119200645,0.39674179996441405,0.47434459643051796,0.4436328241457625,0.5,0.4786357965624135
M08-D10-PIN01,20,200,0.84,14,121.75077616119803,0.5563413531045867,0.5563413531045867,0.5563413531045867,0.5563413531045867,0.4483094900306574,0.5920012572362882,0.39074603549441556,0.7,0.6075630905668883
M09-D10-PIN01,10,40,0.7,3,62.30335503566867,0.47447767774206084,0.3951291333501371,0.2959063039337916,0.38717941934036837,0.2663628338883697,0.3956600985018637,0.38717941934036837,0.4,nan
M10-D10-PIN01,10,40,0.825,3,42.217249968337065,0.4618322578458236,0.4618322578458236,0.2962774149355378,0.42872128926376646,0.33055821183103035,0.45327793430931285,0.42872128926376646,0.45999999999999996,nan
M11-D10-PIN01,10,40,0.825,4,48.21019645655056,0.6302196694397837,0.46205744419095723,0.3915634458645635,0.49990422339872775,0.351817089764204,0.5245358967626126,0.49990422339872775,0.5399999999999999,nan
M12-D10-PIN01,10,40,1.0,3,150.0487658489009,0.2999991689851226,0.2999991689851226,0.2999991689851226,0.2999991689851226,0.19999999999999998,0.29999999998413646,0.2999991689851226,0.3,nan
M13-D10-PIN01,10,200,0.825,7,112.39996403201152,0.6952962693874517,0.6952962693874517,0.6952962693874517,0.6952962693874517,0.6596106562531848,0.6982367176272919,0.687295896883158,0.7,nan
M14-D10-PIN01,10,40,0.25,2,132.42402171753957,0.19988778001067917,0.19988778001067917,0.19988778001067917,0.19988778001067917,0.09999999998345589,0.19999999858951276,0.19988778001067917,0.2,nan
M15-D10-PIN01,10,40,0.825,2,117.2401664810364,0.2948607550952995,0.2948607550952892,0.1999999994690384,0.25691645294777643,0.1999978228968692,0.25999379906641923,0.25691645294777643,0.25999999999999995,nan
M16-D10-PIN01,10,40,0.7,5,116.91120593908926,0.4945686473050694,0.4945686473050694,0.4945686473050694,0.4945686473050694,0.2999990977767381,0.49977098869758557,0.4945686473050694,0.5,nan
