func,K,draws,hit_1e-5,reached_1e-5,restarts,pr_1e-1,pr_1e-3,pr_1e-5,mpr,mpr_lo,mpr_hi,mpr_first40,mpr_sup,mpr_sup_chao1,mpr_earlystop
M01-D20-PIN01,20,40,1.0,9,113.46358953411851,0.4440411259305992,0.4440411259305992,0.4440411259305992,0.4440411259305992,0.29986078673875544,0.4472373169608681,0.4440411259305992,0.45,0.4666666666666667,0.449871339892377
M02-D20-PIN01,20,40,0.925,4,54.61973738830263,0.26237042785193376,0.26237042785193376,0.18745663458741998,0.24738766919903102,0.14999977973689077,0.2676939866856088,0.24738766919903102,0.27999999999999997,0.4,0.2780332358900603
M03-D20-PIN01,20,40,0.725,5,39.9872040946897,0.33189809766640394,0.28832792428902954,0.2447577509116551,0.28832792428902954,0.22463849870871577,0.2928832761576836,0.28832792428902954,0.3,0.3,0.297672754840327
M04-D20-PIN01,20,40,1.0,5,162.45106161768769,0.24754597260602457,0.24754597260602457,0.24754597260602457,0.24754597260602457,0.1,0.24891253340116842,0.24754597260602457,0.25,0.4,0.24998703536752265
M05-D20-PIN01,20,40,0.85,7,133.2267519317879,0.3482317571469019,0.3482317571469019,0.3482317571469019,0.3482317571469019,0.24995187053486387,0.3499397232246827,0.3482317571469019,0.35,0.35,0.3499056073256746
M06-D20-PIN01,20,200,0.085,3,162.4257308345759,0.12355482389716865,0.12355482389716865,0.12355482389716865,0.12355482389716865,0.07723849180441426,0.1440371104981922,0.09931160431645655,0.15,0.15,0.12485440442379325
M07-D20-PIN01,20,40,0.4,2,123.94799142279899,0.24566027245817254,0.14783172578492398,0.09783172578492492,0.15739743447091795,0.09998430855418593,0.15947920871628113,0.15739743447091795,0.15999999999999998,0.18,0.15968283673188938
M08-D20-PIN01,20,40,0.625,6,133.86343252613682,0.29325238785681007,0.29325238785681007,0.29325238785681007,0.29325238785681007,0.14821668964849677,0.2968020115498448,0.29325238785681007,0.3,0.6,0.2976916867217708
M09-D20-PIN01,10,40,0.55,3,68.82217725839975,0.3819520446260107,0.3819520446260107,0.29946154333591907,0.34895584410997404,0.2460469397150199,0.35919808296411704,0.34895584410997404,0.36000000000000004,0.36000000000000004,0.35211095853526186
M10-D20-PIN01,10,200,0.64,3,50.56143416496781,0.6668331014430045,0.6668331014430045,0.25342783352164505,0.5327224445005483,0.4795963882212654,0.5609104741724236,0.5482924964506961,0.64,0.64,0.6142271354251744
M11-D20-PIN01,10,40,0.475,3,39.9872040946897,0.36217157070861894,0.34932524775132506,0.2621849009965762,0.31960763823234306,0.222777944548021,0.3511212448704462,0.31960763823234306,0.36000000000000004,0.36000000000000004,0.3319201958566178
M12-D20-PIN01,10,200,0.9,6,92.76936978056334,0.7068221023670926,0.6082182308394255,0.5710310914951238,0.6323302465039463,0.5433367710729051,0.6539616792124292,0.6552618378984532,0.7000000000000001,0.7000000000000001,0.6717732863237433
M13-D20-PIN01,10,40,0.825,4,116.53381811401668,0.39974645929673847,0.39974645929673847,0.39974645929673847,0.39974645929673847,0.299999516648379,0.3999997022068456,0.39974645929673847,0.4,0.4,0.39999743451538616
M14-D20-PIN01,10,40,0.325,2,145.5604075691412,0.19749096118633963,0.19749096118633963,0.19749096118633963,0.19749096118633963,0.09999999999999828,0.19999954467007347,0.19749096118633963,0.2,0.2,0.1987085004493045
M15-D20-PIN01,10,40,0.5,2,126.48781289922717,0.3957813645786456,0.199999999999999,0.19593352705015427,0.25828211333715634,0.17999912084642916,0.2598811604675429,0.25828211333715634,0.25999999999999995,0.25999999999999995,0.25966841785857175
M16-D20-PIN01,10,40,0.7,2,132.1230858667935,0.2,0.2,0.2,0.2,0.19999999999879053,0.2,0.2,0.2,0.2,0.2
