func,K,group,m,swept,hit_iso,ev_iso,reach_iso,mpr_iso,mpr_earlystop_iso,mpr_sup_iso,mpr_sup_chao1_iso,hit_sig100,ev_sig100,reach_sig100,mpr_sig100,mpr_earlystop_sig100,mpr_sup_sig100,mpr_sup_chao1_sig100,d_mpr,d_lo,d_hi,moved,only_sig,only_iso,p_mcnemar
M01-D10-PIN01,20,A,200,True,0.87,6393.45,11,0.5237213567889443,nan,0.5900000000000001,0.6,0.845,6832.15,13,0.5747602049686588,0.6316401216107792,0.72,0.7733333333333332,0.05103884817971449,-0.005135322117578253,0.09635215677289173,67,11,16,0.44206833839416504
M02-D10-PIN01,20,A,200,True,1.0,8871.2,8,0.3597050109555522,nan,0.4,0.4,0.965,10208.65,8,0.4414318405119616,0.5448589240661665,0.5599999999999999,0.58,0.08172682955640942,0.04529802355867321,0.11963834068678131,71,0,7,0.015625
M03-D10-PIN01,20,A,200,True,0.89,11262.3,11,0.47586629498721367,nan,0.5799999999999998,0.5799999999999998,0.87,11311.3,12,0.538041395108476,0.6092608198266036,0.6799999999999999,0.6799999999999999,0.06217510012126237,0.01483626433660881,0.10190935024594304,111,15,19,0.6075913612730801
M04-D10-PIN01,20,A,200,True,1.0,3702.7,11,0.4861007180823361,0.531311489624688,0.55,0.575,1.0,4224.65,15,0.6525075988893364,0.7314343857348404,0.75,0.75,0.16640688080700028,0.07887164025994305,0.22502240975040666,68,0,0,1.0
M05-D10-PIN01,20,A,200,True,0.87,4339.2,14,0.6620323086206701,0.6908528697178036,0.7,0.7,0.87,4278.35,14,0.6230665918822206,0.6694289882954424,0.7,0.75,-0.03896571673844951,-0.10185514940755644,0.008428330328049568,75,17,17,1.0
M06-D10-PIN01,20,A,200,True,0.205,3269.8,8,0.3474141266136054,0.3541654963694129,0.4,0.45,0.105,3213.75,9,0.33066013725749166,0.3385142995381353,0.45,0.55,-0.01675398935611372,-0.12719169131060473,0.042260421311611174,73,12,32,0.003657766827927844
M07-D10-PIN01,20,A,200,True,0.715,4416.5,10,0.4514717119200645,0.4786357965624135,0.5,0.51,0.65,4440.65,12,0.5226738155982187,0.5612142014204574,0.6,0.625,0.07120210367815416,0.016514732467194884,0.1154154258900173,81,28,41,0.1480321806927584
M08-D10-PIN01,20,A,200,True,0.84,4106.75,14,0.5563413531045867,0.6075630905668883,0.7,0.8,0.76,4085.05,14,0.6051284099602727,0.6356552877456945,0.7,0.85,0.04878705685568607,-0.026025357765491655,0.14077922554034905,76,18,34,0.03648340000835981
M09-D10-PIN01,10,B,200,True,0.72,7828.35,5,0.4775532193335418,0.49290548044864924,0.52,0.52,0.65,8347.2,5,0.4568039790618054,0.48005845469074304,0.54,0.54,-0.020749240271736358,-0.07101641868710407,0.017604183025100206,59,11,25,0.028816719655878845
M10-D10-PIN01,10,B,200,True,0.87,11414.55,4,0.49392819448959707,0.6565018156563113,0.68,0.68,0.615,11929.15,4,0.6485635647340138,0.7829501271633774,0.8200000000000001,0.8200000000000001,0.1546353702444167,0.094602119730936,0.2034167376513696,71,2,53,8.554268404736831e-14
M11-D10-PIN01,10,B,200,True,0.805,10535.2,5,0.5065431018476028,0.5496379556464767,0.58,0.58,0.67,10963.3,5,0.525688886060214,0.56109151650674,0.6,0.6,0.01914578421261126,-0.018822165519328055,0.05696158168601154,69,3,30,1.4011748135089874e-06
M12-D10-PIN01,10,B,200,True,0.985,3639.4,7,0.6665208985899514,0.7631351993168447,0.8,0.8366666666666667,0.955,4506.2,7,0.7053847945409805,0.7593165538821356,0.8,0.82,0.038863895951029015,0.006961859533422605,0.1461045007201682,60,0,6,0.03125
M13-D10-PIN01,10,B,200,True,0.825,4448.4,7,0.6952962693874517,nan,0.7,0.7,0.845,4531.95,8,0.7381653295190788,0.7662715530703477,0.8,0.8,0.04286906013162706,-0.01723452442822842,0.09272871694027547,67,22,18,0.6358280026288412
M14-D10-PIN01,10,B,200,True,0.27,3639.9,4,0.3482364396136817,0.35440106469101834,0.4,0.4,0.225,3650.8,3,0.29979658865010866,0.29991276997709954,0.3,0.3,-0.04843985096357306,-0.08815993272781975,0.013014868460334146,52,12,21,0.16275565745308995
M15-D10-PIN01,10,B,200,True,0.845,4243.75,3,0.31217099269196524,0.34446394713342016,0.36000000000000004,0.36000000000000004,0.795,4287.05,4,0.37867626385558084,0.41689725211668816,0.43999999999999995,0.43999999999999995,0.0665052711636156,-0.008015442242444751,0.1314088446840485,37,17,27,0.17417114727072658
M16-D10-PIN01,10,B,200,True,0.715,4209.65,6,0.5605508104258086,0.5785252893696388,0.6,0.6,0.63,4412.35,6,0.5866867507062765,0.5942216505578235,0.6,0.6,0.02613594028046795,-0.03288224006606198,0.10908547147879794,55,24,41,0.0463534743329112
