function,method,seed,evals,n_optima,n_reported,pr_1e-1,pr_1e-2,pr_1e-3,pr_1e-4,pr_1e-5
N04-Himmelblau,MC-ESO,0,1000,4,20,0.2500,0.2500,0.2500,0.2500,0.2500
N04-Himmelblau,MC-ESO,1,1000,4,20,0.2500,0.2500,0.2500,0.2500,0.2500
N04-Himmelblau,MC-ESO,2,1000,4,20,0.2500,0.2500,0.2500,0.2500,0.2500
N04-Himmelblau,NMMSO,0,1000,4,4,1.0000,1.0000,1.0000,0.7500,0.2500
N04-Himmelblau,NMMSO,1,1000,4,4,1.0000,1.0000,1.0000,0.7500,0.2500
N04-Himmelblau,NMMSO,2,1000,4,4,1.0000,1.0000,1.0000,0.2500,0.0000
N04-Himmelblau,NCDE,0,1000,4,30,1.0000,0.2500,0.0000,0.0000,0.0000
N04-Himmelblau,NCDE,1,1000,4,30,1.0000,0.7500,0.2500,0.0000,0.0000
N04-Himmelblau,NCDE,2,1000,4,30,1.0000,0.7500,0.2500,0.0000,0.0000
N04-Himmelblau,NM-Restart,0,1000,4,6,0.7500,0.7500,0.7500,0.7500,0.7500
N04-Himmelblau,NM-Restart,1,1000,4,6,0.7500,0.7500,0.7500,0.7500,0.7500
N04-Himmelblau,NM-Restart,2,1000,4,6,0.7500,0.7500,0.7500,0.7500,0.7500
N04-Himmelblau,r3pso,0,1000,4,30,1.0000,1.0000,0.0000,0.0000,0.0000
N04-Himmelblau,r3pso,1,1000,4,30,1.0000,1.0000,0.5000,0.2500,0.0000
N04-Himmelblau,r3pso,2,1000,4,30,1.0000,0.5000,0.2500,0.2500,0.0000
N04-Himmelblau,MC-ESO,0,2500,4,24,0.5000,0.5000,0.5000,0.5000,0.2500
N04-Himmelblau,MC-ESO,1,2500,4,23,1.0000,0.2500,0.2500,0.2500,0.2500
N04-Himmelblau,MC-ESO,2,2500,4,23,0.2500,0.2500,0.2500,0.2500,0.2500
N04-Himmelblau,NMMSO,0,2500,4,5,1.0000,0.7500,0.7500,0.7500,0.7500
N04-Himmelblau,NMMSO,1,2500,4,5,1.0000,1.0000,1.0000,1.0000,1.0000
N04-Himmelblau,NMMSO,2,2500,4,6,1.0000,0.7500,0.7500,0.7500,0.7500
N04-Himmelblau,NCDE,0,2500,4,30,1.0000,1.0000,0.5000,0.5000,0.5000
