function,K,eps,seed,evals,visited,reported,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f
N06-Shubert2D,18,0.1,0,20000,15,15,19,4,55,29,29,29,29,1.4210854715202004e-13
N06-Shubert2D,18,0.1,1,20000,15,15,17,2,54,28,28,28,27,8.526512829121202e-14
N06-Shubert2D,18,0.1,2,20000,16,16,17,1,57,31,31,31,30,8.526512829121202e-14
N06-Shubert2D,18,0.001,0,20000,15,15,19,4,55,29,29,29,29,1.4210854715202004e-13
N06-Shubert2D,18,0.001,1,20000,15,15,17,2,54,28,28,28,27,8.526512829121202e-14
N06-Shubert2D,18,0.001,2,20000,16,16,17,1,57,31,31,31,30,8.526512829121202e-14
N06-Shubert2D,18,1e-05,0,20000,3,3,19,16,55,29,29,29,4,1.4210854715202004e-13
N06-Shubert2D,18,1e-05,1,20000,4,4,17,13,54,28,28,28,4,8.526512829121202e-14
N06-Shubert2D,18,1e-05,2,20000,2,2,17,15,57,31,31,31,2,8.526512829121202e-14
N07-Vincent2D,36,0.1,0,20000,36,9,9,0,64,38,38,38,38,0.0
N07-Vincent2D,36,0.1,1,20000,36,9,9,0,60,34,34,34,34,0.0
N07-Vincent2D,36,0.1,2,20000,36,9,9,0,59,33,33,33,33,0.0
N07-Vincent2D,36,0.001,0,20000,14,9,9,0,64,38,38,38,38,0.0
N07-Vincent2D,36,0.001,1,20000,12,9,9,0,60,34,34,34,34,0.0
N07-Vincent2D,36,0.001,2,20000,9,8,9,1,59,33,33,33,33,0.0
N07-Vincent2D,36,1e-05,0,20000,11,9,9,0,64,38,38,38,38,0.0
N07-Vincent2D,36,1e-05,1,20000,10,9,9,0,60,34,34,34,33,0.0
N07-Vincent2D,36,1e-05,2,20000,8,8,9,1,59,33,33,33,33,0.0
N10-ModRastrigin2D,12,0.1,0,20000,12,10,26,16,58,32,32,32,32,0.0
N10-ModRastrigin2D,12,0.1,1,20000,12,12,32,20,58,32,32,32,32,0.0
N10-ModRastrigin2D,12,0.1,2,20000,12,12,12,0,56,30,30,30,30,0.0
N10-ModRastrigin2D,12,0.001,0,20000,12,10,26,16,58,32,32,32,32,0.0
N10-ModRastrigin2D,12,0.001,1,20000,12,12,32,20,58,32,32,32,32,0.0
N10-ModRastrigin2D,12,0.001,2,20000,12,12,12,0,56,30,30,30,30,0.0
N10-ModRastrigin2D,12,1e-05,0,20000,11,10,26,16,58,32,32,32,32,0.0
N10-ModRastrigin2D,12,1e-05,1,20000,12,12,32,20,58,32,32,32,32,0.0
N10-ModRastrigin2D,12,1e-05,2,20000,12,12,12,0,56,30,30,30,30,0.0
