function,method,seed,scenario,regret,spread,wiped
F01-Sphere,MC-ESO,0,15,0,0.11233,0
F01-Sphere,MC-ESO,0,16,0.0445575,0.11233,1
F01-Sphere,MC-ESO,0,17,0,0.11233,0
F01-Sphere,MC-ESO,0,18,0,0.11233,0
F01-Sphere,MC-ESO,0,19,0.192153,0.11233,1
F01-Sphere,MC-ESO,0,20,0,0.11233,0
F01-Sphere,MC-ESO,0,21,0.23952,0.11233,1
F01-Sphere,MC-ESO,0,22,0,0.11233,0
F01-Sphere,MC-ESO,0,23,0.178908,0.11233,1
F01-Sphere,MC-ESO,0,24,0.117179,0.11233,0
F01-Sphere,MC-ESO,0,25,0,0.11233,0
F01-Sphere,MC-ESO,0,26,0,0.11233,0
F01-Sphere,MC-ESO,0,27,0,0.11233,0
F01-Sphere,MC-ESO,0,28,0,0.11233,0
F01-Sphere,MC-ESO,0,29,0,0.11233,0
F01-Sphere,MC-ESO,0,30,0.11447,0.11233,1
F01-Sphere,MC-ESO,0,31,0.205161,0.11233,1
F01-Sphere,MC-ESO,0,32,0,0.11233,1
F01-Sphere,MC-ESO,0,33,0,0.11233,0
F01-Sphere,MC-ESO,0,34,0.584283,0.11233,0
F01-Sphere,MC-ESO,0,35,0,0.11233,0
F01-Sphere,MC-ESO,0,36,0.214063,0.11233,1
F01-Sphere,MC-ESO,0,37,0,0.11233,0
F01-Sphere,MC-ESO,0,38,0.223178,0.11233,1
F01-Sphere,MC-ESO,0,39,0,0.11233,0
F01-Sphere,MC-ESO,0,40,0.203542,0.11233,0
F01-Sphere,MC-ESO,0,41,0.134589,0.11233,1
F01-Sphere,MC-ESO,0,42,0,0.11233,0
F01-Sphere,MC-ESO,0,43,9.66491,0.11233,1
F01-Sphere,MC-ESO,0,44,0,0.11233,0
F01-Sphere,MC-ESO+s,0,15,0,0.00008,0
F01-Sphere,MC-ESO+s,0,16,0.201156,0.00008,1
F01-Sphere,MC-ESO+s,0,17,0,0.00008,0
F01-Sphere,MC-ESO+s,0,18,0,0.00008,0
F01-Sphere,MC-ESO+s,0,19,0.208981,0.00008,1
F01-Sphere,MC-ESO+s,0,20,0,0.00008,0
F01-Sphere,MC-ESO+s,0,21,0.239026,0.00008,1
F01-Sphere,MC-ESO+s,0,22,0,0.00008,0
F01-Sphere,MC-ESO+s,0,23,0.178556,0.00008,1
F01-Sphere,MC-ESO+s,0,24,9.91918,0.00008,1
F01-Sphere,MC-ESO+s,0,25,0,0.00008,0
F01-Sphere,MC-ESO+s,0,26,0,0.00008,0
F01-Sphere,MC-ESO+s,0,27,0,0.00008,0
F01-Sphere,MC-ESO+s,0,28,0,0.00008,0
F01-Sphere,MC-ESO+s,0,29,0,0.00008,0
F01-Sphere,MC-ESO+s,0,30,0.113872,0.00008,1
F01-Sphere,MC-ESO+s,0,31,0.204711,0.00008,1
F01-Sphere,MC-ESO+s,0,32,0.193837,0.00008,1
F01-Sphere,MC-ESO+s,0,33,0,0.00008,0
F01-Sphere,MC-ESO+s,0,34,10.0178,0.00008,1
F01-Sphere,MC-ESO+s,0,35,0,0.00008,0
F01-Sphere,MC-ESO+s,0,36,0.213511,0.00008,1
F01-Sphere,MC-ESO+s,0,37,0,0.00008,0
F01-Sphere,MC-ESO+s,0,38,0.222656,0.00008,1
F01-Sphere,MC-ESO+s,0,39,0,0.00008,0
F01-Sphere,MC-ESO+s,0,40,10.0044,0.00008,1
F01-Sphere,MC-ESO+s,0,41,0.134047,0.00008,1
F01-Sphere,MC-ESO+s,0,42,0,0.00008,0
F01-Sphere,MC-ESO+s,0,43,9.91282,0.00008,1
F01-Sphere,MC-ESO+s,0,44,0,0.00008,0
F01-Sphere,NMMSO,0,15,0,0.00000,0
F01-Sphere,NMMSO,0,16,0.201594,0.00000,1
F01-Sphere,NMMSO,0,17,0,0.00000,0
F01-Sphere,NMMSO,0,18,0,0.00000,0
F01-Sphere,NMMSO,0,19,0.209439,0.00000,1
F01-Sphere,NMMSO,0,20,0,0.00000,0
F01-Sphere,NMMSO,0,21,0.23952,0.00000,1
F01-Sphere,NMMSO,0,22,0,0.00000,0
F01-Sphere,NMMSO,0,23,0.178908,0.00000,1
F01-Sphere,NMMSO,0,24,9.91975,0.00000,1
F01-Sphere,NMMSO,0,25,0,0.00000,0
F01-Sphere,NMMSO,0,26,0,0.00000,0
F01-Sphere,NMMSO,0,27,0,0.00000,0
F01-Sphere,NMMSO,0,28,0,0.00000,0
F01-Sphere,NMMSO,0,29,0,0.00000,0
F01-Sphere,NMMSO,0,30,0.11447,0.00000,1
F01-Sphere,NMMSO,0,31,0.205161,0.00000,1
F01-Sphere,NMMSO,0,32,0.194503,0.00000,1
F01-Sphere,NMMSO,0,33,0,0.00000,0
F01-Sphere,NMMSO,0,34,10.0183,0.00000,1
F01-Sphere,NMMSO,0,35,0,0.00000,0
F01-Sphere,NMMSO,0,36,0.214063,0.00000,1
F01-Sphere,NMMSO,0,37,0,0.00000,0
F01-Sphere,NMMSO,0,38,0.223178,0.00000,1
F01-Sphere,NMMSO,0,39,0,0.00000,0
F01-Sphere,NMMSO,0,40,10.005,0.00000,1
F01-Sphere,NMMSO,0,41,0.134589,0.00000,1
F01-Sphere,NMMSO,0,42,0,0.00000,0
F01-Sphere,NMMSO,0,43,9.91335,0.00000,1
F01-Sphere,NMMSO,0,44,0,0.00000,0
F01-Sphere,NCDE,0,15,0,0.48894,0
F01-Sphere,NCDE,0,16,0.201594,0.48894,1
F01-Sphere,NCDE,0,17,0,0.48894,0
F01-Sphere,NCDE,0,18,0,0.48894,0
F01-Sphere,NCDE,0,19,0.209439,0.48894,0
F01-Sphere,NCDE,0,20,0,0.48894,0
F01-Sphere,NCDE,0,21,0.0996612,0.48894,0
F01-Sphere,NCDE,0,22,0,0.48894,0
F01-Sphere,NCDE,0,23,0.178908,0.48894,0
F01-Sphere,NCDE,0,24,0.760745,0.48894,0
F01-Sphere,NCDE,0,25,0,0.48894,0
F01-Sphere,NCDE,0,26,0,0.48894,0
F01-Sphere,NCDE,0,27,0,0.48894,0
F01-Sphere,NCDE,0,28,0,0.48894,0
F01-Sphere,NCDE,0,29,0,0.48894,0
F01-Sphere,NCDE,0,30,0.11447,0.48894,0
F01-Sphere,NCDE,0,31,0.205161,0.48894,0
F01-Sphere,NCDE,0,32,0.194503,0.48894,0
F01-Sphere,NCDE,0,33,0,0.48894,0
F01-Sphere,NCDE,0,34,10.0183,0.48894,0
F01-Sphere,NCDE,0,35,0,0.48894,0
F01-Sphere,NCDE,0,36,0.214063,0.48894,1
F01-Sphere,NCDE,0,37,0,0.48894,0
F01-Sphere,NCDE,0,38,0.223178,0.48894,1
F01-Sphere,NCDE,0,39,0,0.48894,0
F01-Sphere,NCDE,0,40,1.09459,0.48894,0
F01-Sphere,NCDE,0,41,0.134589,0.48894,0
F01-Sphere,NCDE,0,42,0,0.48894,0
F01-Sphere,NCDE,0,43,9.91335,0.48894,0
F01-Sphere,NCDE,0,44,0,0.48894,0
F01-Sphere,NCDE+s,0,15,0,0.00938,0
F01-Sphere,NCDE+s,0,16,0.190538,0.00938,1
F01-Sphere,NCDE+s,0,17,0,0.00938,0
F01-Sphere,NCDE+s,0,18,0,0.00938,0
F01-Sphere,NCDE+s,0,19,0.175457,0.00938,1
F01-Sphere,NCDE+s,0,20,0,0.00938,0
F01-Sphere,NCDE+s,0,21,0.196959,0.00938,1
F01-Sphere,NCDE+s,0,22,0,0.00938,0
F01-Sphere,NCDE+s,0,23,0.0945595,0.00938,1
F01-Sphere,NCDE+s,0,24,9.91975,0.00938,1
F01-Sphere,NCDE+s,0,25,0,0.00938,0
F01-Sphere,NCDE+s,0,26,0,0.00938,0
F01-Sphere,NCDE+s,0,27,0,0.00938,0
F01-Sphere,NCDE+s,0,28,0,0.00938,0
F01-Sphere,NCDE+s,0,29,0,0.00938,0
F01-Sphere,NCDE+s,0,30,0,0.00938,1
F01-Sphere,NCDE+s,0,31,0.158784,0.00938,1
F01-Sphere,NCDE+s,0,32,0.149632,0.00938,1
F01-Sphere,NCDE+s,0,33,0,0.00938,0
F01-Sphere,NCDE+s,0,34,9.89221,0.00938,1
F01-Sphere,NCDE+s,0,35,0,0.00938,0
F01-Sphere,NCDE+s,0,36,0.179456,0.00938,1
F01-Sphere,NCDE+s,0,37,0,0.00938,0
F01-Sphere,NCDE+s,0,38,0.187667,0.00938,1
F01-Sphere,NCDE+s,0,39,0,0.00938,0
F01-Sphere,NCDE+s,0,40,10.0019,0.00938,1
F01-Sphere,NCDE+s,0,41,0.00924727,0.00938,1
F01-Sphere,NCDE+s,0,42,0,0.00938,0
F01-Sphere,NCDE+s,0,43,9.87185,0.00938,1
F01-Sphere,NCDE+s,0,44,0,0.00938,0
F01-Sphere,r3pso,0,15,0,0.00000,0
F01-Sphere,r3pso,0,16,0.201594,0.00000,1
F01-Sphere,r3pso,0,17,0,0.00000,0
F01-Sphere,r3pso,0,18,0,0.00000,0
F01-Sphere,r3pso,0,19,0.209439,0.00000,1
F01-Sphere,r3pso,0,20,0,0.00000,0
F01-Sphere,r3pso,0,21,0.23952,0.00000,1
F01-Sphere,r3pso,0,22,0,0.00000,0
F01-Sphere,r3pso,0,23,0.178908,0.00000,1
F01-Sphere,r3pso,0,24,9.91975,0.00000,1
F01-Sphere,r3pso,0,25,0,0.00000,0
F01-Sphere,r3pso,0,26,0,0.00000,0
F01-Sphere,r3pso,0,27,0,0.00000,0
F01-Sphere,r3pso,0,28,0,0.00000,0
F01-Sphere,r3pso,0,29,0,0.00000,0
F01-Sphere,r3pso,0,30,0.11447,0.00000,1
F01-Sphere,r3pso,0,31,0.205161,0.00000,1
F01-Sphere,r3pso,0,32,0.194503,0.00000,1
F01-Sphere,r3pso,0,33,0,0.00000,0
F01-Sphere,r3pso,0,34,10.0183,0.00000,1
F01-Sphere,r3pso,0,35,0,0.00000,0
F01-Sphere,r3pso,0,36,0.214063,0.00000,1
F01-Sphere,r3pso,0,37,0,0.00000,0
F01-Sphere,r3pso,0,38,0.223178,0.00000,1
F01-Sphere,r3pso,0,39,0,0.00000,0
F01-Sphere,r3pso,0,40,10.005,0.00000,1
F01-Sphere,r3pso,0,41,0.134589,0.00000,1
F01-Sphere,r3pso,0,42,0,0.00000,0
F01-Sphere,r3pso,0,43,9.91335,0.00000,1
F01-Sphere,r3pso,0,44,0,0.00000,0
F01-Sphere,r3pso+s,0,15,0,0.00000,0
F01-Sphere,r3pso+s,0,16,0.201592,0.00000,1
F01-Sphere,r3pso+s,0,17,0,0.00000,0
F01-Sphere,r3pso+s,0,18,0,0.00000,0
F01-Sphere,r3pso+s,0,19,0.209435,0.00000,1
F01-Sphere,r3pso+s,0,20,0,0.00000,0
F01-Sphere,r3pso+s,0,21,0.239517,0.00000,1
F01-Sphere,r3pso+s,0,22,0,0.00000,0
F01-Sphere,r3pso+s,0,23,0.178903,0.00000,1
F01-Sphere,r3pso+s,0,24,9.91975,0.00000,1
F01-Sphere,r3pso+s,0,25,0,0.00000,0
F01-Sphere,r3pso+s,0,26,0,0.00000,0
F01-Sphere,r3pso+s,0,27,0,0.00000,0
F01-Sphere,r3pso+s,0,28,0,0.00000,0
F01-Sphere,r3pso+s,0,29,0,0.00000,0
F01-Sphere,r3pso+s,0,30,0.114462,0.00000,1
F01-Sphere,r3pso+s,0,31,0.205155,0.00000,1
F01-Sphere,r3pso+s,0,32,0.194496,0.00000,1
F01-Sphere,r3pso+s,0,33,0,0.00000,0
F01-Sphere,r3pso+s,0,34,10.0183,0.00000,1
F01-Sphere,r3pso+s,0,35,0,0.00000,0
F01-Sphere,r3pso+s,0,36,0.214057,0.00000,1
F01-Sphere,r3pso+s,0,37,0,0.00000,0
F01-Sphere,r3pso+s,0,38,0.223172,0.00000,1
