function,method,seed,scenario,regret
F01-Sphere,MC-ESO,0,15,0.000497944
F01-Sphere,MC-ESO,0,16,0.00033376
F01-Sphere,MC-ESO,0,17,0.00074042
F01-Sphere,MC-ESO,0,18,0.000790781
F01-Sphere,MC-ESO,0,19,0.000695593
F01-Sphere,MC-ESO,0,20,0.00031129
F01-Sphere,MC-ESO,0,21,0.000611087
F01-Sphere,MC-ESO,0,22,0.000603512
F01-Sphere,MC-ESO,0,23,0.00111849
F01-Sphere,MC-ESO,0,24,0.000463869
F01-Sphere,MC-ESO,0,25,0.000630351
F01-Sphere,MC-ESO,0,26,0.000319037
F01-Sphere,MC-ESO,0,27,0.000560367
F01-Sphere,MC-ESO,0,28,0.000827826
F01-Sphere,MC-ESO,0,29,0.00121639
F01-Sphere,MC-ESO,0,30,0.00048464
F01-Sphere,MC-ESO,0,31,0.00109715
F01-Sphere,MC-ESO,0,32,0.000549678
F01-Sphere,MC-ESO,0,33,0.00121527
F01-Sphere,MC-ESO,0,34,0.000889599
F01-Sphere,MC-ESO,0,35,0.000826982
F01-Sphere,MC-ESO,0,36,0.00117912
F01-Sphere,MC-ESO,0,37,0.000895854
F01-Sphere,MC-ESO,0,38,0.00124301
F01-Sphere,MC-ESO,0,39,0.000417051
F01-Sphere,MC-ESO,0,40,0.000485312
F01-Sphere,MC-ESO,0,41,0.000621178
F01-Sphere,MC-ESO,0,42,0.00122507
F01-Sphere,MC-ESO,0,43,0.000596918
F01-Sphere,MC-ESO,0,44,0.000755796
F01-Sphere,MC-ESO+s,0,15,0.000455101
F01-Sphere,MC-ESO+s,0,16,0.000303178
F01-Sphere,MC-ESO+s,0,17,0.000696201
F01-Sphere,MC-ESO+s,0,18,0.000744178
F01-Sphere,MC-ESO+s,0,19,0.000663439
F01-Sphere,MC-ESO+s,0,20,0.000287647
F01-Sphere,MC-ESO+s,0,21,0.000576545
F01-Sphere,MC-ESO+s,0,22,0.000572102
F01-Sphere,MC-ESO+s,0,23,0.00109388
F01-Sphere,MC-ESO+s,0,24,0.000423589
F01-Sphere,MC-ESO+s,0,25,0.000591453
F01-Sphere,MC-ESO+s,0,26,0.000289551
F01-Sphere,MC-ESO+s,0,27,0.000512889
F01-Sphere,MC-ESO+s,0,28,0.000790053
F01-Sphere,MC-ESO+s,0,29,0.00118117
F01-Sphere,MC-ESO+s,0,30,0.000442787
F01-Sphere,MC-ESO+s,0,31,0.00106559
F01-Sphere,MC-ESO+s,0,32,0.000502999
F01-Sphere,MC-ESO+s,0,33,0.00117672
F01-Sphere,MC-ESO+s,0,34,0.000852236
F01-Sphere,MC-ESO+s,0,35,0.000791455
F01-Sphere,MC-ESO+s,0,36,0.00114033
F01-Sphere,MC-ESO+s,0,37,0.000858658
F01-Sphere,MC-ESO+s,0,38,0.00120638
F01-Sphere,MC-ESO+s,0,39,0.000388353
F01-Sphere,MC-ESO+s,0,40,0.000443434
F01-Sphere,MC-ESO+s,0,41,0.000583143
F01-Sphere,MC-ESO+s,0,42,0.00118947
F01-Sphere,MC-ESO+s,0,43,0.000559619
F01-Sphere,MC-ESO+s,0,44,0.000710888
F01-Sphere,NMMSO,0,15,0.000497949
F01-Sphere,NMMSO,0,16,0.000333769
F01-Sphere,NMMSO,0,17,0.000740417
F01-Sphere,NMMSO,0,18,0.00079078
F01-Sphere,NMMSO,0,19,0.000695586
F01-Sphere,NMMSO,0,20,0.000311298
F01-Sphere,NMMSO,0,21,0.000611081
F01-Sphere,NMMSO,0,22,0.000603506
F01-Sphere,NMMSO,0,23,0.00111849
F01-Sphere,NMMSO,0,24,0.000463878
F01-Sphere,NMMSO,0,25,0.000630356
F01-Sphere,NMMSO,0,26,0.000319045
F01-Sphere,NMMSO,0,27,0.000560375
F01-Sphere,NMMSO,0,28,0.000827826
F01-Sphere,NMMSO,0,29,0.00121638
F01-Sphere,NMMSO,0,30,0.000484644
F01-Sphere,NMMSO,0,31,0.00109714
F01-Sphere,NMMSO,0,32,0.000549686
F01-Sphere,NMMSO,0,33,0.00121526
F01-Sphere,NMMSO,0,34,0.000889599
F01-Sphere,NMMSO,0,35,0.000826974
F01-Sphere,NMMSO,0,36,0.00117911
F01-Sphere,NMMSO,0,37,0.000895845
F01-Sphere,NMMSO,0,38,0.001243
F01-Sphere,NMMSO,0,39,0.000417058
F01-Sphere,NMMSO,0,40,0.000485321
F01-Sphere,NMMSO,0,41,0.00062118
F01-Sphere,NMMSO,0,42,0.00122506
F01-Sphere,NMMSO,0,43,0.000596923
F01-Sphere,NMMSO,0,44,0.000755799
F01-Sphere,NCDE,0,15,0.000497945
