function,method,seed,scenario,regret
F01-Sphere,MC-ESO,0,15,3.12129e-08
F01-Sphere,MC-ESO,0,16,8.9126e-06
F01-Sphere,MC-ESO,0,17,6.73177e-05
F01-Sphere,MC-ESO,0,18,1.65228e-05
F01-Sphere,MC-ESO,0,19,0.00295261
F01-Sphere,MC-ESO,0,20,9.19355e-06
F01-Sphere,MC-ESO,0,21,0.00147937
F01-Sphere,MC-ESO,0,22,0.00218999
F01-Sphere,MC-ESO,0,23,0.000974271
F01-Sphere,MC-ESO,0,24,7.80113e-06
F01-Sphere,MC-ESO,0,25,8.35626e-06
F01-Sphere,MC-ESO,0,26,8.97555e-06
F01-Sphere,MC-ESO,0,27,4.63898e-06
F01-Sphere,MC-ESO,0,28,1.09159e-08
F01-Sphere,MC-ESO,0,29,0.00416348
F01-Sphere,MC-ESO,0,30,1.57121e-08
F01-Sphere,MC-ESO,0,31,0.00323728
F01-Sphere,MC-ESO,0,32,5.57102e-06
F01-Sphere,MC-ESO,0,33,0.00494541
F01-Sphere,MC-ESO,0,34,1.10022e-08
F01-Sphere,MC-ESO,0,35,0.00392471
F01-Sphere,MC-ESO,0,36,0.00498232
F01-Sphere,MC-ESO,0,37,0.00442087
F01-Sphere,MC-ESO,0,38,0.00450948
F01-Sphere,MC-ESO,0,39,9.14126e-06
F01-Sphere,MC-ESO,0,40,7.46211e-06
F01-Sphere,MC-ESO,0,41,1.26479e-08
F01-Sphere,MC-ESO,0,42,0.00425611
F01-Sphere,MC-ESO,0,43,8.56872e-06
F01-Sphere,MC-ESO,0,44,6.79164e-06
F01-Sphere,NMMSO,0,15,4.13496e-08
F01-Sphere,NMMSO,0,16,8.91605e-06
F01-Sphere,NMMSO,0,17,6.73081e-05
F01-Sphere,NMMSO,0,18,1.65145e-05
F01-Sphere,NMMSO,0,19,0.0029526
F01-Sphere,NMMSO,0,20,9.19475e-06
F01-Sphere,NMMSO,0,21,0.00147936
F01-Sphere,NMMSO,0,22,0.00218998
F01-Sphere,NMMSO,0,23,0.000974274
F01-Sphere,NMMSO,0,24,7.80733e-06
F01-Sphere,NMMSO,0,25,8.35293e-06
F01-Sphere,NMMSO,0,26,8.97872e-06
F01-Sphere,NMMSO,0,27,4.64823e-06
F01-Sphere,NMMSO,0,28,1.93757e-08
F01-Sphere,NMMSO,0,29,0.00416348
F01-Sphere,NMMSO,0,30,2.57955e-08
F01-Sphere,NMMSO,0,31,0.00323728
F01-Sphere,NMMSO,0,32,5.57968e-06
F01-Sphere,NMMSO,0,33,0.00494541
F01-Sphere,NMMSO,0,34,1.90704e-08
F01-Sphere,NMMSO,0,35,0.0039247
F01-Sphere,NMMSO,0,36,0.00498232
F01-Sphere,NMMSO,0,37,0.00442086
F01-Sphere,NMMSO,0,38,0.00450948
F01-Sphere,NMMSO,0,39,9.14114e-06
F01-Sphere,NMMSO,0,40,7.46883e-06
F01-Sphere,NMMSO,0,41,2.20089e-08
F01-Sphere,NMMSO,0,42,0.0042561
F01-Sphere,NMMSO,0,43,8.56596e-06
F01-Sphere,NMMSO,0,44,6.78554e-06
F01-Sphere,NCDE,0,15,3.32241e-08
F01-Sphere,NCDE,0,16,8.91585e-06
F01-Sphere,NCDE,0,17,6.73164e-05
F01-Sphere,NCDE,0,18,1.65225e-05
F01-Sphere,NCDE,0,19,0.00295261
F01-Sphere,NCDE,0,20,9.19644e-06
