function,method,seed,scenario,regret
F01-Sphere,MC-ESO,0,15,3.12129e-08
F01-Sphere,MC-ESO,0,16,8.9126e-06
F01-Sphere,MC-ESO,0,17,2.14462e-06
F01-Sphere,MC-ESO,0,18,4.51864e-06
F01-Sphere,MC-ESO,0,19,0.00295261
F01-Sphere,MC-ESO,0,20,9.19355e-06
F01-Sphere,MC-ESO,0,21,0.00147937
F01-Sphere,MC-ESO,0,22,0.00218999
F01-Sphere,MC-ESO,0,23,0.000974271
F01-Sphere,MC-ESO,0,24,7.80113e-06
F01-Sphere,MC-ESO,0,25,8.35626e-06
F01-Sphere,MC-ESO,0,26,8.97555e-06
F01-Sphere,MC-ESO,0,27,4.63898e-06
F01-Sphere,MC-ESO,0,28,1.09159e-08
F01-Sphere,MC-ESO,0,29,0.00416348
F01-Sphere,MC-ESO,0,30,1.57121e-08
F01-Sphere,MC-ESO,0,31,0.00323728
F01-Sphere,MC-ESO,0,32,5.57102e-06
F01-Sphere,MC-ESO,0,33,0.00494541
F01-Sphere,MC-ESO,0,34,1.11226e-08
F01-Sphere,MC-ESO,0,35,0.00392471
F01-Sphere,MC-ESO,0,36,0.00498232
F01-Sphere,MC-ESO,0,37,0.00442087
F01-Sphere,MC-ESO,0,38,0.00450948
F01-Sphere,MC-ESO,0,39,9.14126e-06
F01-Sphere,MC-ESO,0,40,7.46211e-06
F01-Sphere,MC-ESO,0,41,1.26479e-08
F01-Sphere,MC-ESO,0,42,0.00425611
F01-Sphere,MC-ESO,0,43,8.56872e-06
F01-Sphere,MC-ESO,0,44,6.79164e-06
F01-Sphere,NMMSO,0,15,3.61631e-08
F01-Sphere,NMMSO,0,16,8.92775e-06
F01-Sphere,NMMSO,0,17,2.14322e-06
F01-Sphere,NMMSO,0,18,4.52145e-06
F01-Sphere,NMMSO,0,19,0.0029526
F01-Sphere,NMMSO,0,20,9.20804e-06
F01-Sphere,NMMSO,0,21,0.00147936
F01-Sphere,NMMSO,0,22,0.00218998
F01-Sphere,NMMSO,0,23,0.00097426
F01-Sphere,NMMSO,0,24,7.81593e-06
F01-Sphere,NMMSO,0,25,8.3673e-06
F01-Sphere,NMMSO,0,26,8.99066e-06
F01-Sphere,NMMSO,0,27,4.65047e-06
F01-Sphere,NMMSO,0,28,8.41995e-09
F01-Sphere,NMMSO,0,29,0.00416346
F01-Sphere,NMMSO,0,30,2.00067e-08
F01-Sphere,NMMSO,0,31,0.00323727
F01-Sphere,NMMSO,0,32,5.58364e-06
F01-Sphere,NMMSO,0,33,0.0049454
F01-Sphere,NMMSO,0,34,7.64399e-09
F01-Sphere,NMMSO,0,35,0.00392469
F01-Sphere,NMMSO,0,36,0.00498231
F01-Sphere,NMMSO,0,37,0.00442086
F01-Sphere,NMMSO,0,38,0.00450947
F01-Sphere,NMMSO,0,39,9.15503e-06
F01-Sphere,NMMSO,0,40,7.47664e-06
F01-Sphere,NMMSO,0,41,1.29661e-08
F01-Sphere,NMMSO,0,42,0.00425609
F01-Sphere,NMMSO,0,43,8.58035e-06
F01-Sphere,NMMSO,0,44,6.79897e-06
F01-Sphere,NCDE,0,15,3.32241e-08
F01-Sphere,NCDE,0,16,8.91585e-06
F01-Sphere,NCDE,0,17,2.14334e-06
F01-Sphere,NCDE,0,18,4.5183e-06
F01-Sphere,NCDE,0,19,0.00295261
F01-Sphere,NCDE,0,20,9.19644e-06
