function,K,seed,hunt,eval,f,switch,exhausted,sigma_span,no_improve,distinct,x0,x1
N06-Shubert2D,18,0,0,2850,1.4210854715202004e-13,1,1,1e-06,901,1,-1.425128428,-0.8003211005
N06-Shubert2D,18,0,1,3410,2.8674213865542697e-06,1,1,0.0005034549886464197,540,1,5.482869935,4.858022249
N06-Shubert2D,18,0,2,4030,8.937404078324107e-05,1,1,7.161232222403831e-05,600,1,4.85806781,-7.083707198
N06-Shubert2D,18,0,3,4655,0.00010658358510795551,1,1,6.0870473890432556e-05,605,0,-7.708326278,-0.8001018579
N06-Shubert2D,18,0,4,5260,0.00013628151879174766,1,1,0.00011660870706132842,585,0,-0.800151021,-7.70813754
N06-Shubert2D,18,0,5,5835,0.0001050819665238123,1,1,0.0003091842949024825,555,1,-7.083553794,-7.708521003
N06-Shubert2D,18,0,6,6420,0.00010742123117779556,1,1,0.00022338565306704358,565,1,-7.083675554,4.85819458
N06-Shubert2D,18,0,7,7010,5.9534510569392296e-05,1,1,0.00018987780510698704,570,0,-1.425224523,-0.8004522553
N06-Shubert2D,18,0,8,7625,7.409268192759555e-06,1,1,8.424979085180978e-05,595,1,-1.425149946,-7.083452886
N06-Shubert2D,18,0,9,8185,0.00011222206444472249,1,1,0.0005034549886464197,540,0,-0.8005083165,-1.425250564
N06-Shubert2D,18,0,10,8770,7.560097020586909e-05,1,1,0.00022338565306704358,565,0,-7.083501056,-1.425308461
N06-Shubert2D,18,0,11,9375,8.066737063927576e-05,1,1,0.00011660870706132842,585,1,-7.708148093,-0.8004080735
N06-Shubert2D,18,0,12,9965,8.183759547364389e-05,1,1,0.00018987780510698704,570,0,-0.8002262464,-1.425291474
N06-Shubert2D,18,0,13,10555,8.561744934354465e-05,1,1,0.00018987780510698704,570,1,-0.8004902142,-7.708411807
N06-Shubert2D,18,0,14,11185,7.265262817668372e-05,1,1,5.173990280686767e-05,610,0,-1.425294117,-7.083569053
N06-Shubert2D,18,0,15,11765,8.122169117541489e-05,1,1,0.0002628066506671101,560,1,5.483051504,-1.42508857
N06-Shubert2D,18,0,16,12365,2.467808130290905e-05,1,1,0.00013718671418979815,580,0,-7.083600231,-1.425081081
N06-Shubert2D,18,0,17,12950,5.541341863590787e-06,1,1,0.00022338565306704358,565,1,-0.8002739272,-1.425144788
N06-Shubert2D,18,0,18,13575,0.00014393431030157444,1,1,6.0870473890432556e-05,605,0,-7.708556104,-7.083562828
N06-Shubert2D,18,0,19,14225,0.00013424289940644485,1,1,2.7008552639577468e-05,630,0,-7.708073795,5.482859337
N06-Shubert2D,18,0,20,14840,2.2463328548383288e-05,1,1,8.424979085180978e-05,595,0,-0.8003169468,-1.425030339
N06-Shubert2D,18,0,21,15410,1.7645871338345387e-05,1,1,0.00036374622929703825,550,1,-1.425212055,5.482839521
N06-Shubert2D,18,0,22,16035,0.00015417378833149087,1,1,6.0870473890432556e-05,605,0,-1.425385538,-0.8003138731
