function,method,seed,scenario,regret
F01-Sphere,MC-ESO,0,15,1.34867e-08
F01-Sphere,MC-ESO,0,16,4.45418e-06
F01-Sphere,MC-ESO,0,17,3.27714e-05
F01-Sphere,MC-ESO,0,18,7.37399e-06
F01-Sphere,MC-ESO,0,19,7.72145e-05
F01-Sphere,MC-ESO,0,20,4.59465e-06
F01-Sphere,MC-ESO,0,21,6.48947e-05
F01-Sphere,MC-ESO,0,22,7.08776e-05
F01-Sphere,MC-ESO,0,23,5.27023e-05
F01-Sphere,MC-ESO,0,24,3.89844e-06
F01-Sphere,MC-ESO,0,25,4.17601e-06
F01-Sphere,MC-ESO,0,26,4.48566e-06
F01-Sphere,MC-ESO,0,27,2.31737e-06
F01-Sphere,MC-ESO,0,28,5.45796e-09
F01-Sphere,MC-ESO,0,29,8.30629e-05
F01-Sphere,MC-ESO,0,30,7.85604e-09
F01-Sphere,MC-ESO,0,31,7.39996e-05
F01-Sphere,MC-ESO,0,32,2.78339e-06
F01-Sphere,MC-ESO,0,33,9.15357e-05
F01-Sphere,MC-ESO,0,34,5.50111e-09
F01-Sphere,MC-ESO,0,35,8.5085e-05
F01-Sphere,MC-ESO,0,36,9.22268e-05
F01-Sphere,MC-ESO,0,37,8.89198e-05
F01-Sphere,MC-ESO,0,38,8.65934e-05
F01-Sphere,MC-ESO,0,39,4.56851e-06
F01-Sphere,MC-ESO,0,40,3.72893e-06
F01-Sphere,MC-ESO,0,41,6.32395e-09
F01-Sphere,MC-ESO,0,42,8.39955e-05
F01-Sphere,MC-ESO,0,43,4.28224e-06
F01-Sphere,MC-ESO,0,44,3.3937e-06
F01-Sphere,NMMSO,0,15,1.59168e-08
F01-Sphere,NMMSO,0,16,4.45953e-06
F01-Sphere,NMMSO,0,17,3.27702e-05
F01-Sphere,NMMSO,0,18,7.3743e-06
F01-Sphere,NMMSO,0,19,7.72105e-05
F01-Sphere,NMMSO,0,20,4.59961e-06
F01-Sphere,NMMSO,0,21,6.48914e-05
F01-Sphere,NMMSO,0,22,7.0874e-05
F01-Sphere,NMMSO,0,23,5.26985e-05
F01-Sphere,NMMSO,0,24,3.90389e-06
F01-Sphere,NMMSO,0,25,4.17947e-06
F01-Sphere,NMMSO,0,26,4.49097e-06
F01-Sphere,NMMSO,0,27,2.32193e-06
F01-Sphere,NMMSO,0,28,5.25968e-09
F01-Sphere,NMMSO,0,29,8.30577e-05
F01-Sphere,NMMSO,0,30,1.00619e-08
F01-Sphere,NMMSO,0,31,7.39947e-05
F01-Sphere,NMMSO,0,32,2.78829e-06
F01-Sphere,NMMSO,0,33,9.15302e-05
F01-Sphere,NMMSO,0,34,4.94309e-09
F01-Sphere,NMMSO,0,35,8.50804e-05
F01-Sphere,NMMSO,0,36,9.22213e-05
F01-Sphere,NMMSO,0,37,8.89148e-05
F01-Sphere,NMMSO,0,38,8.6588e-05
F01-Sphere,NMMSO,0,39,4.57313e-06
F01-Sphere,NMMSO,0,40,3.73433e-06
F01-Sphere,NMMSO,0,41,7.13927e-09
F01-Sphere,NMMSO,0,42,8.39903e-05
F01-Sphere,NMMSO,0,43,4.28594e-06
F01-Sphere,NMMSO,0,44,3.3957e-06
F01-Sphere,NCDE,0,15,1.44923e-08
F01-Sphere,NCDE,0,16,4.4558e-06
F01-Sphere,NCDE,0,17,3.27708e-05
F01-Sphere,NCDE,0,18,7.37381e-06
F01-Sphere,NCDE,0,19,7.72131e-05
F01-Sphere,NCDE,0,20,4.5961e-06
F01-Sphere,NCDE,0,21,6.48934e-05
F01-Sphere,NCDE,0,22,7.08763e-05
F01-Sphere,NCDE,0,23,5.27013e-05
F01-Sphere,NCDE,0,24,3.90018e-06
F01-Sphere,NCDE,0,25,4.17689e-06
F01-Sphere,NCDE,0,26,4.48726e-06
F01-Sphere,NCDE,0,27,2.31895e-06
F01-Sphere,NCDE,0,28,5.66577e-09
F01-Sphere,NCDE,0,29,8.30614e-05
F01-Sphere,NCDE,0,30,8.79637e-09
F01-Sphere,NCDE,0,31,7.39982e-05
F01-Sphere,NCDE,0,32,2.78505e-06
F01-Sphere,NCDE,0,33,9.15339e-05
F01-Sphere,NCDE,0,34,5.59467e-09
F01-Sphere,NCDE,0,35,8.50834e-05
F01-Sphere,NCDE,0,36,9.2225e-05
F01-Sphere,NCDE,0,37,8.89181e-05
F01-Sphere,NCDE,0,38,8.65917e-05
F01-Sphere,NCDE,0,39,4.56981e-06
F01-Sphere,NCDE,0,40,3.73067e-06
F01-Sphere,NCDE,0,41,6.84736e-09
F01-Sphere,NCDE,0,42,8.3994e-05
F01-Sphere,NCDE,0,43,4.2832e-06
F01-Sphere,NCDE,0,44,3.39408e-06
F01-Sphere,r3pso,0,15,1.57119e-08
F01-Sphere,r3pso,0,16,4.45988e-06
F01-Sphere,r3pso,0,17,3.27705e-05
F01-Sphere,r3pso,0,18,7.37468e-06
F01-Sphere,r3pso,0,19,7.72105e-05
F01-Sphere,r3pso,0,20,4.60002e-06
F01-Sphere,r3pso,0,21,6.48916e-05
F01-Sphere,r3pso,0,22,7.08741e-05
F01-Sphere,r3pso,0,23,5.2698e-05
F01-Sphere,r3pso,0,24,3.90413e-06
F01-Sphere,r3pso,0,25,4.17993e-06
F01-Sphere,r3pso,0,26,4.49133e-06
F01-Sphere,r3pso,0,27,2.32196e-06
F01-Sphere,r3pso,0,28,4.88267e-09
F01-Sphere,r3pso,0,29,8.30573e-05
F01-Sphere,r3pso,0,30,9.83847e-09
F01-Sphere,r3pso,0,31,7.39943e-05
F01-Sphere,r3pso,0,32,2.78837e-06
F01-Sphere,r3pso,0,33,9.15299e-05
F01-Sphere,r3pso,0,34,4.54939e-09
F01-Sphere,r3pso,0,35,8.50803e-05
F01-Sphere,r3pso,0,36,9.22211e-05
F01-Sphere,r3pso,0,37,8.89147e-05
F01-Sphere,r3pso,0,38,8.65877e-05
F01-Sphere,r3pso,0,39,4.57356e-06
F01-Sphere,r3pso,0,40,3.73454e-06
F01-Sphere,r3pso,0,41,6.81783e-09
F01-Sphere,r3pso,0,42,8.39899e-05
F01-Sphere,r3pso,0,43,4.2864e-06
F01-Sphere,r3pso,0,44,3.39615e-06
F01-Sphere,NM-Restart,0,15,9.08608e-09
F01-Sphere,NM-Restart,0,16,4.45631e-06
F01-Sphere,NM-Restart,0,17,3.27765e-05
F01-Sphere,NM-Restart,0,18,7.37946e-06
F01-Sphere,NM-Restart,0,19,7.72174e-05
F01-Sphere,NM-Restart,0,20,4.59788e-06
F01-Sphere,NM-Restart,0,21,6.48984e-05
F01-Sphere,NM-Restart,0,22,7.0881e-05
F01-Sphere,NM-Restart,0,23,5.26977e-05
F01-Sphere,NM-Restart,0,24,3.89892e-06
F01-Sphere,NM-Restart,0,25,4.18087e-06
F01-Sphere,NM-Restart,0,26,4.48794e-06
F01-Sphere,NM-Restart,0,27,2.31524e-06
F01-Sphere,NM-Restart,0,28,0
F01-Sphere,NM-Restart,0,29,8.30604e-05
F01-Sphere,NM-Restart,0,30,3.30899e-09
F01-Sphere,NM-Restart,0,31,7.39961e-05
F01-Sphere,NM-Restart,0,32,2.78189e-06
F01-Sphere,NM-Restart,0,33,9.15347e-05
F01-Sphere,NM-Restart,0,34,0
F01-Sphere,NM-Restart,0,35,8.5087e-05
F01-Sphere,NM-Restart,0,36,9.22262e-05
F01-Sphere,NM-Restart,0,37,8.89211e-05
F01-Sphere,NM-Restart,0,38,8.65913e-05
F01-Sphere,NM-Restart,0,39,4.57229e-06
F01-Sphere,NM-Restart,0,40,3.72905e-06
F01-Sphere,NM-Restart,0,41,1.11434e-09
F01-Sphere,NM-Restart,0,42,8.39931e-05
F01-Sphere,NM-Restart,0,43,4.28693e-06
F01-Sphere,NM-Restart,0,44,3.39913e-06
F01-Sphere,IPOP-CMA-ES,0,15,2.00316e-08
F01-Sphere,IPOP-CMA-ES,0,16,4.46061e-06
F01-Sphere,IPOP-CMA-ES,0,17,3.27663e-05
F01-Sphere,IPOP-CMA-ES,0,18,7.37075e-06
F01-Sphere,IPOP-CMA-ES,0,19,7.72066e-05
F01-Sphere,IPOP-CMA-ES,0,20,4.59977e-06
F01-Sphere,IPOP-CMA-ES,0,21,6.48874e-05
F01-Sphere,IPOP-CMA-ES,0,22,7.087e-05
F01-Sphere,IPOP-CMA-ES,0,23,5.26998e-05
F01-Sphere,IPOP-CMA-ES,0,24,3.90612e-06
F01-Sphere,IPOP-CMA-ES,0,25,4.17781e-06
F01-Sphere,IPOP-CMA-ES,0,26,4.49193e-06
F01-Sphere,IPOP-CMA-ES,0,27,2.32551e-06
F01-Sphere,IPOP-CMA-ES,0,28,8.85469e-09
F01-Sphere,IPOP-CMA-ES,0,29,8.3057e-05
F01-Sphere,IPOP-CMA-ES,0,30,1.41703e-08
F01-Sphere,IPOP-CMA-ES,0,31,7.39948e-05
F01-Sphere,IPOP-CMA-ES,0,32,2.7916e-06
F01-Sphere,IPOP-CMA-ES,0,33,9.15283e-05
F01-Sphere,IPOP-CMA-ES,0,34,8.39833e-09
F01-Sphere,IPOP-CMA-ES,0,35,8.50769e-05
F01-Sphere,IPOP-CMA-ES,0,36,9.22191e-05
F01-Sphere,IPOP-CMA-ES,0,37,8.89116e-05
F01-Sphere,IPOP-CMA-ES,0,38,8.65869e-05
F01-Sphere,IPOP-CMA-ES,0,39,4.57274e-06
F01-Sphere,IPOP-CMA-ES,0,40,3.73678e-06
F01-Sphere,IPOP-CMA-ES,0,41,1.10424e-08
F01-Sphere,IPOP-CMA-ES,0,42,8.39895e-05
F01-Sphere,IPOP-CMA-ES,0,43,4.2845e-06
F01-Sphere,IPOP-CMA-ES,0,44,3.39297e-06
F01-Sphere,DE,0,15,1.43565e-08
F01-Sphere,DE,0,16,4.4618e-06
F01-Sphere,DE,0,17,3.27724e-05
F01-Sphere,DE,0,18,7.37701e-06
F01-Sphere,DE,0,19,7.72109e-05
F01-Sphere,DE,0,20,4.60232e-06
F01-Sphere,DE,0,21,6.48925e-05
F01-Sphere,DE,0,22,7.08748e-05
F01-Sphere,DE,0,23,5.26954e-05
F01-Sphere,DE,0,24,3.90538e-06
F01-Sphere,DE,0,25,4.18261e-06
F01-Sphere,DE,0,26,4.4933e-06
F01-Sphere,DE,0,27,2.32196e-06
F01-Sphere,DE,0,28,2.58102e-09
F01-Sphere,DE,0,29,8.30552e-05
F01-Sphere,DE,0,30,8.37901e-09
F01-Sphere,DE,0,31,7.39919e-05
F01-Sphere,DE,0,32,2.78869e-06
F01-Sphere,DE,0,33,9.15285e-05
F01-Sphere,DE,0,34,2.16035e-09
F01-Sphere,DE,0,35,8.50803e-05
F01-Sphere,DE,0,36,9.22198e-05
F01-Sphere,DE,0,37,8.89143e-05
F01-Sphere,DE,0,38,8.65858e-05
F01-Sphere,DE,0,39,4.57602e-06
F01-Sphere,DE,0,40,3.73563e-06
F01-Sphere,DE,0,41,4.81499e-09
F01-Sphere,DE,0,42,8.39879e-05
F01-Sphere,DE,0,43,4.28906e-06
