function,method,seed,n_report,spread,distinct,quality
F01-Sphere,MC-ESO,0,30,0.11233,5,3.41612e+12
F01-Sphere,NMMSO,0,1,0.00000,1,0
F01-Sphere,NCDE,0,30,0.48894,4,7.1961e+13
F01-Sphere,r3pso,0,30,0.00000,1,0
F01-Sphere,NM-Restart,0,26,0.00000,1,0
F01-Sphere,IPOP-CMA-ES,0,101,0.00000,1,0
F01-Sphere,DE,0,30,0.00000,1,0
F01-Sphere,PSO,0,30,0.00000,1,0
F01-Sphere,Crowding-DE,0,30,0.00000,1,25389.8
F01-Sphere,MAP-Elites,0,400,0.08325,5,2.11711e+12
F01-Sphere,MC-ESO-crowd,0,37,0.10564,5,4.01177e+12
F01-Sphere,MC-ESO,1,31,0.13077,5,6.02268e+12
F01-Sphere,NMMSO,1,1,0.00000,1,0
F01-Sphere,NCDE,1,30,0.52840,5,8.36416e+13
F01-Sphere,r3pso,1,30,0.00000,1,0
F01-Sphere,NM-Restart,1,25,0.00000,1,0
F01-Sphere,IPOP-CMA-ES,1,101,0.00000,1,0
F01-Sphere,DE,1,30,0.00000,1,0
F01-Sphere,PSO,1,30,0.00000,1,0
F01-Sphere,Crowding-DE,1,30,0.00000,1,18013.7
F01-Sphere,MAP-Elites,1,400,0.08759,5,2.2194e+12
F01-Sphere,MC-ESO-crowd,1,33,0.09205,5,2.28146e+12
F01-Sphere,MC-ESO,2,28,0.00000,1,0
F01-Sphere,NMMSO,2,2,0.42647,2,5.44622e+13
F01-Sphere,NCDE,2,30,0.19278,5,1.187e+13
F01-Sphere,r3pso,2,30,0.00000,1,0
F01-Sphere,NM-Restart,2,26,0.00000,1,0
F01-Sphere,IPOP-CMA-ES,2,101,0.00000,1,0
F01-Sphere,DE,2,30,0.00000,1,0
F01-Sphere,PSO,2,30,0.00000,1,0
F01-Sphere,Crowding-DE,2,30,0.00000,1,63739.7
F01-Sphere,MAP-Elites,2,400,0.08633,5,2.02044e+12
F01-Sphere,MC-ESO-crowd,2,34,0.09917,5,2.65399e+12
F02-EllipsoidalSep,MC-ESO,0,28,0.05299,2,4.93828e+08
F02-EllipsoidalSep,NMMSO,0,1,0.00000,1,0
F02-EllipsoidalSep,NCDE,0,30,0.35126,5,1.70725e+16
F02-EllipsoidalSep,r3pso,0,30,0.00000,1,0.00135373
F02-EllipsoidalSep,NM-Restart,0,22,0.37928,2,2.23916e+10
F02-EllipsoidalSep,IPOP-CMA-ES,0,101,0.20607,5,2.2646e+14
F02-EllipsoidalSep,DE,0,30,0.00000,1,0
F02-EllipsoidalSep,PSO,0,30,0.00000,1,0.00424169
F02-EllipsoidalSep,Crowding-DE,0,30,0.05256,2,4.68944e+08
F02-EllipsoidalSep,MAP-Elites,0,400,0.27779,5,6.75601e+10
F02-EllipsoidalSep,MC-ESO-crowd,0,38,0.22503,5,1.41665e+10
F02-EllipsoidalSep,MC-ESO,1,29,0.06992,3,1.55465e+09
F02-EllipsoidalSep,NMMSO,1,1,0.00000,1,0
F02-EllipsoidalSep,NCDE,1,30,0.50816,5,1.1975e+16
F02-EllipsoidalSep,r3pso,1,30,0.00000,1,0.00442218
F02-EllipsoidalSep,NM-Restart,1,22,0.11224,2,2.19411e+09
F02-EllipsoidalSep,IPOP-CMA-ES,1,101,0.15362,5,2.392e+13
F02-EllipsoidalSep,DE,1,30,0.00000,1,0
F02-EllipsoidalSep,PSO,1,30,0.00000,1,0
F02-EllipsoidalSep,Crowding-DE,1,30,0.00000,1,21895.4
F02-EllipsoidalSep,MAP-Elites,1,400,0.31566,5,3.89249e+10
F02-EllipsoidalSep,MC-ESO-crowd,1,37,0.20503,5,1.05003e+10
F02-EllipsoidalSep,MC-ESO,2,29,0.15295,5,3.95313e+09
F02-EllipsoidalSep,NMMSO,2,1,0.00000,1,0
F02-EllipsoidalSep,NCDE,2,30,0.32844,5,2.12343e+10
F02-EllipsoidalSep,r3pso,2,30,0.00000,1,0.0201254
F02-EllipsoidalSep,NM-Restart,2,21,0.00000,1,0
